facility_id,macc,emissions,transition,from_fuel,to_tech,nameplate_capacity,annual_generation,cumulative_end,cumulative_start
58420,-1968.8767164665594,140179.79471188365,Gas to NGCC,Gas,NGCC,870.0,6298322.47,140179.79471188365,0.0
57881,-1961.7292263746172,113970.93412675025,Gas to NGCC,Gas,NGCC,293.1000000000001,491755.51,254150.7288386339,140179.79471188365
56476,-1959.4732756122664,159857.284283855,Gas to NGCC,Gas,NGCC,619.7,3140587.31,414008.01312248886,254150.72883863386
56629,-1933.7667924804218,7432.369025795497,Gas to NGCC,Gas,NGCC,96.0,41268.13,421440.38214828435,414008.01312248886
55951,-1909.6773444587825,2437.1342882899994,Gas to NGCC,Gas,NGCC,60.5,10908.5,423877.51643657434,421440.38214828435
56473,-1897.9161616281708,2341.6533080135,Gas to NGCC,Gas,NGCC,49.8,12052.76,426219.16974458785,423877.51643657434
7302,-1890.2515190308702,1857245.897524802,Gas to NGCC,Gas,NGCC,2266.3,7062107.65,2283465.06726939,426219.16974458797
7987,-1889.4260897318602,1951.3083057270992,Gas to NGCC,Gas,NGCC,60.5,10202.95,2285416.3755751173,2283465.06726939
7757,-1870.4717023197645,227802.48059024615,Gas to NGCC,Gas,NGCC,1069.6,7037405.58,2513218.8561653635,2285416.3755751173
7063,-1867.9553866125584,196733.35284689674,Gas to NGCC,Gas,NGCC,676.0,758280.61,2709952.20901226,2513218.8561653635
7916,-1867.7791211000979,156127.52062151095,Gas to NGCC,Gas,NGCC,726.0,524114.19,2866079.7296337713,2709952.20901226
55091,-1841.2886125399282,362987.37881646026,Gas to NGCC,Gas,NGCC,1734.0,5433406.41,3229067.1084502316,2866079.7296337713
55131,-1836.2433847797286,360115.30277405516,Gas to NGCC,Gas,NGCC,1256.0,6031041.67,3589182.411224287,3229067.108450232
55146,-1811.7466043233617,180575.6776240063,Gas to NGCC,Gas,NGCC,903.9000000000001,3938030.93,3769758.0888482933,3589182.411224287
55625,-1805.2956524573117,2003.605627249,Gas to NGCC,Gas,NGCC,47.0,8440.24,3771761.6944755423,3769758.0888482933
7844,-1804.2285313386155,1595.5464555326002,Gas to NGCC,Gas,NGCC,49.0,6970.67,3773357.240931075,3771761.6944755423
2847,-1803.55966918179,130104.08539701003,Gas to NGCC,Gas,NGCC,680.6000000000001,394193.4,3903461.3263280853,3773357.240931075
56150,-1792.683714965498,361909.33822722733,Gas to NGCC,Gas,NGCC,1376.6000000000001,9237842.97,4265370.664555313,3903461.3263280857
55855,-1791.1995214141823,2023.5390456714995,Gas to NGCC,Gas,NGCC,47.0,8269.03,4267394.203600985,4265370.664555313
56164,-1777.3546016474138,21054.506236624788,Gas to NGCC,Gas,NGCC,334.5,1096536.37,4288448.70983761,4267394.203600985
2070,-1768.282406643944,285285.4687222766,Gas to NGCC,Gas,NGCC,510.5,2200212.09,4573734.178559886,4288448.70983761
1239,-1764.746412198653,66999.71182783943,Gas to NGCC,Gas,NGCC,300.2,1188051.98,4640733.890387726,4573734.178559886
3295,-1764.0395000838112,388235.52595154336,Gas to NGCC,Gas,NGCC,758.9,1427856.3,5028969.416339269,4640733.890387725
3804,-1756.6620628790777,86655.3694486497,Gas to NGCC,Gas,NGCC,709.0,1932251.26,5115624.785787919,5028969.416339269
7839,-1737.2531002057133,182955.3475803978,Gas to NGCC,Gas,NGCC,892.5,853290.57,5298580.133368316,5115624.785787919
2039,-1720.7783591111395,17257.1317978438,Gas to NGCC,Gas,NGCC,191.3,58015.12,5315837.26516616,5298580.133368316
2880,-1700.1001624331245,89600.65170395348,Gas to NGCC,Gas,NGCC,450.0,233591.47,5405437.916870113,5315837.26516616
55111,-1697.5399873645863,200450.171116294,Gas to NGCC,Gas,NGCC,692.0,576508.6,5605888.087986408,5405437.916870113
7296,-1692.4697311367036,83375.01700176462,Gas to NGCC,Gas,NGCC,690.5,2385458.76,5689263.104988173,5605888.087986408
55215,-1682.2581514863314,174134.32975608623,Gas to NGCC,Gas,NGCC,1152.8,7153349.23,5863397.434744259,5689263.104988173
55694,-1676.7155608712544,145681.3025825934,Gas to NGCC,Gas,NGCC,850.5,2316739.44,6009078.737326853,5863397.434744259
56032,-1674.352108718959,11357.138213543698,Gas to NGCC,Gas,NGCC,120.0,57166.65,6020435.875540397,6009078.737326853
55271,-1663.7957802748215,135212.50439327944,Gas to NGCC,Gas,NGCC,939.4,2767580.65,6155648.379933677,6020435.875540397
55836,-1662.7074286942286,3056.0441335900996,Gas to NGCC,Gas,NGCC,60.5,7808.72,6158704.424067267,6155648.379933677
58471,-1658.8762423660542,121571.97183523711,Gas to NGCC,Gas,NGCC,358.8,433683.18,6280276.395902504,6158704.424067267
56569,-1657.2600719789973,15401.829589396195,Gas to NGCC,Gas,NGCC,121.0,91473.57,6295678.2254919,6280276.395902504
56502,-1656.6911051611075,376219.6514671624,Gas to NGCC,Gas,NGCC,730.1999999999999,1239721.93,6671897.876959062,6295678.2254919
