Plant Code,State,County,Generator ID,Technology,Prime Mover,Nameplate Capacity (MW),Status,Operating Year,Planned Retirement Year,Energy Source,Fuel Category
59004.0,VA,Loudoun,GEN2,Natural Gas Fired Combined Cycle,CT,237.0,OP,2017.0, ,NG,Gas
59004.0,VA,Loudoun,GEN3,Natural Gas Fired Combined Cycle,CA,338.0,OP,2017.0, ,NG,Gas
59093.0,MI,Ottawa,10,Natural Gas Fired Combined Cycle,CT,53.1,OP,2017.0, ,NG,Gas
59093.0,MI,Ottawa,11,Natural Gas Fired Combined Cycle,CT,53.1,OP,2017.0, ,NG,Gas
59093.0,MI,Ottawa,12,Natural Gas Fired Combined Cycle,CA,43.2,OP,2017.0, ,NG,Gas
59220.0,MD,Cecil,CT1,Natural Gas Fired Combined Cycle,CT,310.3,OP,2018.0, ,NG,Gas
59220.0,MD,Cecil,CT2,Natural Gas Fired Combined Cycle,CT,310.3,OP,2018.0, ,NG,Gas
59220.0,MD,Cecil,ST1,Natural Gas Fired Combined Cycle,CA,493.0,OP,2018.0, ,NG,Gas
59325.0,NC,Cleveland,KMEC1,Natural Gas Fired Combined Cycle,CT,310.2,OP,2018.0, ,NG,Gas
59325.0,NC,Cleveland,KMEC2,Natural Gas Fired Combined Cycle,CA,233.7,OP,2018.0, ,NG,Gas
59326.0,OH,Butler,MEC1,Natural Gas Fired Combined Cycle,CT,310.2,OP,2018.0, ,NG,Gas
59326.0,OH,Butler,MEC2,Natural Gas Fired Combined Cycle,CA,233.7,OP,2018.0, ,NG,Gas
59764.0,OH,Lucas,CTG11,Natural Gas Fired Combined Cycle,CT,328.0,OP,2017.0, ,NG,Gas
59764.0,OH,Lucas,CTG12,Natural Gas Fired Combined Cycle,CT,328.0,OP,2017.0, ,NG,Gas
59764.0,OH,Lucas,EDG13,Petroleum Liquids,IC,1.5,OP,2017.0, ,DFO,Oil
59764.0,OH,Lucas,STG10,Natural Gas Fired Combined Cycle,CA,404.0,OP,2017.0, ,NG,Gas
59773.0,OH,Carroll,CGT1,Natural Gas Fired Combined Cycle,CT,235.5,OP,2017.0, ,NG,Gas
59773.0,OH,Carroll,CGT2,Natural Gas Fired Combined Cycle,CT,235.5,OP,2017.0, ,NG,Gas
59773.0,OH,Carroll,SGT1,Natural Gas Fired Combined Cycle,CA,361.3,OP,2017.0, ,NG,Gas
59812.0,TX,Hood,CGT4,Natural Gas Fired Combined Cycle,CT,360.0,OP,2017.0, ,NG,Gas
59812.0,TX,Hood,CGT5,Natural Gas Fired Combined Cycle,CT,360.0,OP,2017.0, ,NG,Gas
59812.0,TX,Hood,STG6,Natural Gas Fired Combined Cycle,CA,511.2,OP,2017.0, ,NG,Gas
59882.0,MA,Norfolk,4,Natural Gas Fired Combustion Turbine,GT,131.8,OP,2019.0, ,NG,Gas
59882.0,MA,Norfolk,5,Natural Gas Fired Combustion Turbine,GT,131.8,OP,2019.0, ,NG,Gas
59906.0,PA,Luzerne,GEN1,Natural Gas Fired Combined Cycle,CS,552.5,OP,2018.0, ,NG,Gas
59906.0,PA,Luzerne,GEN2,Natural Gas Fired Combined Cycle,CS,552.5,OP,2018.0, ,NG,Gas
59913.0,VA,Greensville,CT01,Natural Gas Fired Combined Cycle,CT,369.8,OP,2018.0, ,NG,Gas
59913.0,VA,Greensville,CT02,Natural Gas Fired Combined Cycle,CT,369.8,OP,2018.0, ,NG,Gas
59913.0,VA,Greensville,CT03,Natural Gas Fired Combined Cycle,CT,369.8,OP,2018.0, ,NG,Gas
59913.0,VA,Greensville,ST01,Natural Gas Fired Combined Cycle,CA,663.9,OP,2018.0, ,NG,Gas
59926.0,MI,Otsego,AI1,Natural Gas Fired Combustion Turbine,GT,226.9,OP,2016.0, ,NG,Gas
59926.0,MI,Otsego,AI2,Natural Gas Fired Combustion Turbine,GT,226.9,OP,2016.0, ,NG,Gas
60122.0,TX,Wharton,CT7,Natural Gas Fired Combined Cycle,CT,360.9,OP,2017.0, ,NG,Gas
60122.0,TX,Wharton,CT8,Natural Gas Fired Combined Cycle,CT,360.9,OP,2017.0, ,NG,Gas
60122.0,TX,Wharton,STG9,Natural Gas Fired Combined Cycle,CA,508.5,OP,2017.0, ,NG,Gas
60264.0,TX,Galveston,BCGT1,Natural Gas Fired Combustion Turbine,GT,71.2,OP,2018.0, ,NG,Gas
60264.0,TX,Galveston,BCGT2,Natural Gas Fired Combustion Turbine,GT,71.2,OP,2018.0, ,NG,Gas
60264.0,TX,Galveston,BCGT3,Natural Gas Fired Combustion Turbine,GT,71.2,OP,2018.0, ,NG,Gas
60264.0,TX,Galveston,BCGT4,Natural Gas Fired Combustion Turbine,GT,71.2,OP,2018.0, ,NG,Gas
60264.0,TX,Galveston,BCGT5,Natural Gas Fired Combustion Turbine,GT,71.2,OP,2018.0, ,NG,Gas
60264.0,TX,Galveston,BCGT6,Natural Gas Fired Combustion Turbine,GT,71.2,OP,2018.0, ,NG,Gas
60302.0,MD,Prince Georges,10,Natural Gas Fired Combined Cycle,CA,359.6,OP,2018.0, ,NG,Gas
60302.0,MD,Prince Georges,11,Natural Gas Fired Combined Cycle,CT,235.5,OP,2018.0, ,NG,Gas
60302.0,MD,Prince Georges,12,Natural Gas Fired Combined Cycle,CT,235.5,OP,2018.0, ,NG,Gas
60345.0,FL,Okeechobee,1A,Natural Gas Fired Combined Cycle,CT,376.6,OP,2019.0, ,NG,Gas
60345.0,FL,Okeechobee,1B,Natural Gas Fired Combined Cycle,CT,376.6,OP,2019.0, ,NG,Gas
60345.0,FL,Okeechobee,1C,Natural Gas Fired Combined Cycle,CT,376.6,OP,2019.0, ,NG,Gas
60345.0,FL,Okeechobee,1ST,Natural Gas Fired Combined Cycle,CA,593.3,OP,2019.0, ,NG,Gas
