Plant Code,State,County,Generator ID,Technology,Prime Mover,Nameplate Capacity (MW),Status,Operating Year,Planned Retirement Year,Energy Source,Fuel Category
56196.0,NY,Queens,CT01,Natural Gas Fired Combined Cycle,CT,170.0,OP,2005.0, ,NG,Gas
56196.0,NY,Queens,CT02,Natural Gas Fired Combined Cycle,CT,170.0,OP,2005.0, ,NG,Gas
56224.0,NV,Eureka,001,Conventional Steam Coal,ST,242.0,OP,2008.0, ,SUB,Coal
56227.0,OR,Columbia,1,Natural Gas Fired Combined Cycle,CT,312.0,OP,2007.0, ,NG,Gas
56227.0,OR,Columbia,2,Natural Gas Fired Combined Cycle,CA,171.0,OP,2007.0, ,NG,Gas
56232.0,CA,San Diego,1,Natural Gas Fired Combustion Turbine,GT,53.0,OP,2005.0, ,NG,Gas
56232.0,CA,San Diego,2,Natural Gas Fired Combustion Turbine,GT,53.0,OP,2009.0, ,NG,Gas
56234.0,NY,Suffolk,CT01,Natural Gas Fired Combined Cycle,CT,196.2,OP,2009.0, ,NG,Gas
56234.0,NY,Suffolk,ST01,Natural Gas Fired Combined Cycle,CA,152.7,OP,2009.0, ,NG,Gas
56237.0,UT,Utah,CT01,Natural Gas Fired Combined Cycle,CT,182.7,OP,2007.0, ,NG,Gas
56237.0,UT,Utah,CT02,Natural Gas Fired Combined Cycle,CT,182.7,OP,2007.0, ,NG,Gas
56237.0,UT,Utah,CT21,Natural Gas Fired Combined Cycle,CT,185.4,OP,2014.0, ,NG,Gas
56237.0,UT,Utah,CT22,Natural Gas Fired Combined Cycle,CT,185.4,OP,2014.0, ,NG,Gas
56237.0,UT,Utah,ST01,Natural Gas Fired Combined Cycle,CA,225.9,OP,2007.0, ,NG,Gas
56237.0,UT,Utah,ST2,Natural Gas Fired Combined Cycle,CA,284.4,OP,2014.0, ,NG,Gas
56238.0,SD,Brown,GT01,Natural Gas Fired Combustion Turbine,GT,108.2,OP,2006.0, ,NG,Gas
