facility_id,macc,emissions,transition,from_fuel,to_tech,nameplate_capacity,annual_generation,cumulative_end,cumulative_start
55402,-1989.0540348994477,384823.5444625785,Gas to NGCC,Gas,NGCC,782.0,1523848.92,384823.5444625785,0.0
55206,-1981.4568238758634,234292.59500920936,Gas to NGCC,Gas,NGCC,593.3,3150331.29,619116.1394717878,384823.5444625785
7914,-1978.4555304503901,19752.189478102096,Gas to NGCC,Gas,NGCC,94.0,100567.97,638868.32894989,619116.1394717878
55718,-1939.655072513832,183828.8323335012,Gas to NGCC,Gas,NGCC,357.6,590858.34,822697.1612833912,638868.32894989
7721,-1932.4005135672705,33791.86495141999,Gas to NGCC,Gas,NGCC,317.4,2080924.25,856489.0262348112,822697.1612833912
55210,-1931.3683709084646,71421.75326096045,Gas to NGCC,Gas,NGCC,287.0,1488127.8,927910.7794957716,856489.0262348112
56166,-1928.4442468162215,146077.5408519916,Gas to NGCC,Gas,NGCC,346.8,553522.09,1073988.3203477631,927910.7794957715
7527,-1909.0611723579186,25626.0486934496,Gas to NGCC,Gas,NGCC,125.5,156613.13,1099614.3690412128,1073988.3203477631
55170,-1890.2768133429001,534384.0444328407,Gas to NGCC,Gas,NGCC,790.0,2266433.15,1633998.4134740536,1099614.3690412128
56603,-1877.9122854825175,39844.752632115895,Gas to NGCC,Gas,NGCC,170.0,114615.51,1673843.1661061696,1633998.4134740536
976,-1863.5865095663376,780828.1517143364,Gas to NGCC,Gas,NGCC,249.0,767181.57,2454671.317820506,1673843.1661061698
56177,-1833.1462439725735,56135.769897822174,Gas to NGCC,Gas,NGCC,140.0,854366.0,2510807.0877183285,2454671.317820506
7946,-1827.0010360569875,474701.8844909745,Gas to NGCC,Gas,NGCC,594.1,1998559.85,2985508.9722093027,2510807.0877183285
7869,-1821.1950407620109,31318.18185700631,Gas to NGCC,Gas,NGCC,122.0,162159.43,3016827.154066309,2985508.9722093027
1595,-1814.9703465531447,28840.7388461323,Gas to NGCC,Gas,NGCC,234.7,2246310.43,3045667.892912441,3016827.1540663084
56604,-1810.970464436387,41611.93436555401,Gas to NGCC,Gas,NGCC,173.0,129398.88,3087279.8272779947,3045667.892912441
55802,-1795.789146617006,62565.66631227922,Gas to NGCC,Gas,NGCC,159.5,247273.67,3149845.493590274,3087279.8272779947
55976,-1790.6509325189368,862008.3554099863,Gas to NGCC,Gas,NGCC,898.0,3231073.51,4011853.8490002602,3149845.493590274
55043,-1784.0825260147324,23896.7077823507,Gas to NGCC,Gas,NGCC,101.2,79838.63,4035750.5567826107,4011853.8490002602
55970,-1778.5858123934454,659728.2844351277,Gas to NGCC,Gas,NGCC,556.8,1401020.6,4695478.841217739,4035750.5567826107
2869,-1758.8184935588176,341451.8164776317,Gas to NGCC,Gas,NGCC,555.6,1111697.3,5036930.65769537,4695478.841217738
55397,-1742.2476044550108,265664.47131020087,Gas to NGCC,Gas,NGCC,714.9000000000001,5360474.23,5302595.129005571,5036930.65769537
55477,-1699.0183790459557,4947.712625201699,Gas to NGCC,Gas,NGCC,40.0,19912.8,5307542.841630773,5302595.129005571
55065,-1672.8418906002626,170176.04746863188,Gas to NGCC,Gas,NGCC,521.0,2135785.83,5477718.889099404,5307542.841630773
54832,-1671.3019179131538,74942.77544287551,Gas to NGCC,Gas,NGCC,288.8,662763.65,5552661.66454228,5477718.889099404
54761,-1642.8720504132707,176191.8329185032,Gas to NGCC,Gas,NGCC,621.2,3031264.24,5728853.497460783,5552661.66454228
56609,-1629.7689871498892,1751655.4191519674,Coal to NGCC,Coal,NGCC,483.7,3163235.49,7480508.916612751,5728853.497460783
54365,-1616.5796542954697,32230.800231317582,Gas to NGCC,Gas,NGCC,157.2,430076.54,7512739.716844069,7480508.916612751
7967,-1606.8980598077374,25782.85668527639,Gas to NGCC,Gas,NGCC,88.0,112278.6,7538522.573529345,7512739.716844069
7913,-1600.829219609152,24122.412528880006,Gas to NGCC,Gas,NGCC,94.0,108070.81,7562644.986058225,7538522.573529345
55504,-1547.9000166881294,49308.88883604361,Gas to NGCC,Gas,NGCC,154.2,136329.36,7611953.874894269,7562644.986058225
55481,-1480.857815676469,351679.25961955497,Gas to NGCC,Gas,NGCC,691.6,7875475.51,7963633.134513823,7611953.874894269
7829,-1474.5590537214703,58252.295645578,Gas to NGCC,Gas,NGCC,242.0,156370.18,8021885.430159401,7963633.134513823
7425,-1447.6873983154906,14469.0595964466,Gas to NGCC,Gas,NGCC,138.6,39524.1,8036354.4897558475,8021885.430159401
55818,-1405.6845511200702,86657.50247505831,Gas to NGCC,Gas,NGCC,318.3,1843501.05,8123011.992230906,8036354.4897558475
7551,-1397.9682787336542,76543.42532401619,Gas to NGCC,Gas,NGCC,193.39999999999998,630076.14,8199555.417554922,8123011.992230906
55622,-1380.7975727595567,178805.7686586253,Gas to NGCC,Gas,NGCC,217.0,845920.33,8378361.186213547,8199555.417554922
56456,-1376.3910966586288,2095644.0641547858,Coal to NGCC,Coal,NGCC,720.0,3721291.34,10474005.250368332,8378361.186213546
7909,-1356.323036721509,27541.835852545097,Gas to NGCC,Gas,NGCC,94.0,128494.25,10501547.086220877,10474005.250368332
55127,-1338.799522186773,84525.73155822449,Gas to NGCC,Gas,NGCC,300.0,359995.89,10586072.817779101,10501547.086220877
377,-1328.799206884516,16738.0136601255,Gas to NGCC,Gas,NGCC,57.4,34333.02,10602810.831439227,10586072.817779101
7915,-1327.867108794747,6899.740272159001,Gas to NGCC,Gas,NGCC,47.0,34991.52,10609710.571711386,10602810.831439227
55011,-1290.1358458214013,58317.7820467937,Gas to NGCC,Gas,NGCC,283.5,669281.87,10668028.353758179,10609710.571711386
55710,-1253.565797151997,495526.7957772325,Gas to NGCC,Gas,NGCC,556.0,3049669.11,11163555.149535412,10668028.353758179
55977,-1238.8955679579456,49187.40661387521,Gas to NGCC,Gas,NGCC,67.0,432702.32,11212742.556149287,11163555.149535412
55048,-1233.3676078995509,58759.80090538878,Gas to NGCC,Gas,NGCC,290.1,1694673.89,11271502.357054677,11212742.556149289
55377,-1201.3285787497693,26064.9072747615,Gas to NGCC,Gas,NGCC,87.6,133172.76,11297567.264329439,11271502.357054677
7912,-1166.367883394433,7644.767868581601,Gas to NGCC,Gas,NGCC,47.0,38967.29,11305212.032198021,11297567.264329439
7604,-1139.034905104789,118862.01123717055,Gas to NGCC,Gas,NGCC,506.6,2010810.06,11424074.043435192,11305212.032198021
55457,-1110.1183899754255,388664.6753696138,Gas to NGCC,Gas,NGCC,551.3,1697932.13,11812738.718804806,11424074.043435194
55847,-1106.9131621878805,13045.935950468505,Gas to NGCC,Gas,NGCC,47.0,47875.03,11825784.654755276,11812738.718804806
55179,-1099.4781881849588,74849.44761961128,Gas to NGCC,Gas,NGCC,301.5,1834721.5,11900634.102374887,11825784.654755276
3236,-1083.5582626252626,406979.9083350625,Gas to NGCC,Gas,NGCC,515.0,1203894.25,12307614.010709949,11900634.102374887
55738,-1053.501576641151,35022.098738949695,Gas to NGCC,Gas,NGCC,88.0,185766.28,12342636.109448899,12307614.010709949
55026,-1001.3712788784884,31410.644507978912,Gas to NGCC,Gas,NGCC,200.0,355696.13,12374046.753956877,12342636.109448899
55196,-1001.0256613700346,26297.628047243314,Gas to NGCC,Gas,NGCC,87.6,133881.83,12400344.38200412,12374046.753956877
7984,-998.7437330603753,13191.112177990999,Gas to NGCC,Gas,NGCC,60.5,55890.32,12413535.49418211,12400344.38200412
55117,-952.0513525423776,434334.9499911923,Gas to NGCC,Gas,NGCC,493.0,2168028.74,12847870.444173303,12413535.49418211
8053,-929.0681644839107,9111.614347779603,Gas to NGCC,Gas,NGCC,47.0,46281.09,12856982.058521083,12847870.444173303
664,-913.6806003626667,75587.62505794546,Gas to NGCC,Gas,NGCC,141.6,749021.72,12932569.683579028,12856982.058521083
55478,-896.0084479291697,9400.603241582498,Gas to NGCC,Gas,NGCC,40.0,41610.22,12941970.286820611,12932569.683579028
