Facility ID,Technology,Technology_alt,Operating Year,Age,Total Capital Cost (2024$/kW),Total Nameplate Capacity (MW),Fuel Category,Energy Source
703.0,Conventional Steam Coal,Coal,1974.0,50.0,13174.352665495022,3498.6,Coal,BIT
710.0,Natural Gas Fired Combined Cycle,Combined cycle,2011.0,13.0,12104.22029168756,2848.4000000000005,Gas,NG
728.0,Natural Gas Steam Turbine,Oil/Gas steam,1974.0,50.0,4162.652606912713,807.4,Gas,NG
876.0,Conventional Steam Coal,Coal,1967.0,57.0,6587.176332747511,1319.0,Coal,SUB
879.0,Conventional Steam Coal,Coal,1972.0,52.0,6587.176332747511,1785.6,Coal,SUB
889.0,Conventional Steam Coal,Coal,1973.0,51.0,6587.176332747511,1259.6,Coal,SUB
913.0,Natural Gas Fired Combustion Turbine,Combustion turbine,2005.0,19.0,2517.851949355761,586.0,Gas,NG
963.0,Conventional Steam Coal,Coal,2009.0,15.0,6209.721531804666,437.4,Coal,BIT
976.0,Natural Gas Fired Combustion Turbine,Combustion turbine,2003.0,21.0,11262.332249544117,249.0,Gas,NG
983.0,Conventional Steam Coal,Coal,1955.0,69.0,19761.528998242535,1303.8,Coal,BIT
990.0,Natural Gas Steam Turbine,Oil/Gas steam,1973.0,51.0,8355.989213383935,1044.7,Gas,NG
991.0,Natural Gas Fired Combined Cycle,Combined cycle,2018.0,6.0,3627.881447587354,644.0,Gas,NG
994.0,Conventional Steam Coal,Coal,1986.0,38.0,6587.176332747511,1349.9,Coal,BIT
997.0,Conventional Steam Coal,Coal,1974.0,50.0,3293.5881663737555,540.0,Coal,SUB
1001.0,Conventional Steam Coal,Coal,1970.0,54.0,7348.299648506152,1184.8999999999996,Coal,BIT
1004.0,Coal Integrated Gasification Combined Cycle,Unknown,2013.0,11.0,0.0,812.7,Gas,SGC
1007.0,Natural Gas Fired Combined Cycle,Combined cycle,2003.0,21.0,4621.157006200741,283.0,Gas,NG
1012.0,Conventional Steam Coal,Coal,1973.0,51.0,6587.176332747511,368.9,Coal,BIT
1040.0,Conventional Steam Coal,Coal,1973.0,51.0,6587.176332747511,93.9,Coal,BIT
1082.0,Conventional Steam Coal,Coal,2007.0,17.0,5235.229672592873,1648.3,Coal,SUB
1091.0,Conventional Steam Coal,Coal,1975.0,49.0,3293.5881663737555,584.1,Coal,SUB
1104.0,Natural Gas Steam Turbine,Oil/Gas steam,1968.0,56.0,5125.819566490921,290.79999999999995,Gas,NG
1122.0,Natural Gas Steam Turbine,Oil/Gas steam,1982.0,42.0,4162.652606912713,108.8,Gas,NG
1131.0,Natural Gas Steam Turbine,Oil/Gas steam,1973.0,51.0,4162.652606912713,51.5,Gas,NG
1167.0,Conventional Steam Coal,Coal,1983.0,41.0,12006.693041383412,293.5,Coal,SUB
1206.0,Natural Gas Fired Combustion Turbine,Combustion turbine,1975.0,49.0,8130.593166170747,118.69999999999999,Gas,NG
1217.0,Natural Gas Fired Combustion Turbine,Combustion turbine,2004.0,20.0,2770.1155726515462,119.1,Gas,NG
1230.0,Natural Gas Steam Turbine,Oil/Gas steam,1963.0,61.0,2842.4496192149973,65.0,Gas,NG
1233.0,Natural Gas Steam Turbine,Oil/Gas steam,1969.0,55.0,2081.3263034563565,149.0,Gas,NG
1235.0,Natural Gas Steam Turbine,Oil/Gas steam,1963.0,61.0,2081.3263034563565,81.6,Gas,NG
1239.0,Natural Gas Fired Combined Cycle,Combined cycle,2007.0,17.0,3654.8628777709796,300.2,Gas,NG
1240.0,Natural Gas Fired Combustion Turbine,Combustion turbine,2001.0,23.0,1875.5322704628677,378.0,Gas,NG
1241.0,Conventional Steam Coal,Coal,1973.0,51.0,6587.176332747511,1598.9,Coal,SUB
1250.0,Conventional Steam Coal,Coal,1971.0,53.0,6587.176332747511,517.0,Coal,SUB
1268.0,Natural Gas Fired Combustion Turbine,Combustion turbine,2002.0,22.0,589.7636714975846,64.0,Gas,NG
1271.0,Natural Gas Steam Turbine,Oil/Gas steam,1973.0,51.0,2081.3263034563565,44.0,Gas,NG
1336.0,Natural Gas Steam Turbine,Oil/Gas steam,1973.0,51.0,4364.69625073228,256.3,Gas,NG
1353.0,Natural Gas Steam Turbine,Oil/Gas steam,1963.0,61.0,2081.3263034563565,280.5,Gas,NG
1355.0,Conventional Steam Coal,Coal,1971.0,53.0,8221.511077180909,1444.6,Coal,BIT
1356.0,Conventional Steam Coal,Coal,1974.0,50.0,13174.352665495022,2225.8999999999996,Coal,BIT
1363.0,Natural Gas Fired Combined Cycle,Combined cycle,2015.0,9.0,3519.0775714285714,807.0,Gas,NG
1364.0,Conventional Steam Coal,Coal,1982.0,42.0,13174.352665495022,1717.1999999999998,Coal,BIT
1366.0,Natural Gas Fired Combustion Turbine,Combustion turbine,2001.0,23.0,1355.6968275444979,210.6,Gas,NG
1378.0,Natural Gas Fired Combined Cycle,Combined cycle,2017.0,7.0,8924.929007210205,1853.6,Gas,NG
1379.0,Conventional Steam Coal,Coal,1953.0,71.0,29642.2934973638,1575.0,Coal,SUB
1384.0,Conventional Steam Coal,Coal,1969.0,55.0,6587.176332747511,344.0,Coal,BIT
1391.0,Natural Gas Fired Combustion Turbine,Combustion turbine,1999.0,25.0,1405.5513837520075,450.90000000000003,Gas,NG
1393.0,Conventional Steam Coal,Coal,1982.0,42.0,5374.914469830112,1433.6,Coal,SUB
1396.0,Natural Gas Fired Combined Cycle,Combined cycle,1966.0,58.0,4502.763607708561,922.8,Gas,NG
1400.0,Natural Gas Steam Turbine,Oil/Gas steam,1971.0,53.0,3423.8552316400073,390.7,Gas,NG
1402.0,Natural Gas Steam Turbine,Oil/Gas steam,1969.0,55.0,4162.652606912713,1002.9000000000001,Gas,NG
1403.0,Natural Gas Steam Turbine,Oil/Gas steam,1973.0,51.0,7741.466492983157,2439.7,Gas,NG
1416.0,Natural Gas Steam Turbine,Oil/Gas steam,1960.0,64.0,2081.3263034563565,125.0,Gas,NG
1417.0,Natural Gas Steam Turbine,Oil/Gas steam,1957.0,67.0,4162.652606912713,228.0,Gas,NG
1464.0,Natural Gas Fired Combustion Turbine,Combustion turbine,2001.0,23.0,5351.799630484426,492.8,Gas,NG
1507.0,Petroleum Liquids,Combustion turbine - aeroderivative,1978.0,46.0,0.0,846.0,Oil,RFO
1554.0,Petroleum Liquids,Combustion turbine - aeroderivative,1972.0,52.0,0.0,922.5,Oil,DFO
1556.0,Natural Gas Fired Combustion Turbine,Combustion turbine,1995.0,29.0,2005.6916014729268,492.3,Gas,NG
1564.0,Petroleum Liquids,Combustion turbine - aeroderivative,1972.0,52.0,0.0,180.6,Oil,RFO
1571.0,Natural Gas Steam Turbine,Oil/Gas steam,1975.0,49.0,7207.145869947277,1825.0,Gas,NG
1572.0,Natural Gas Fired Combustion Turbine,Combustion turbine,1992.0,32.0,1522.246631517282,326.0,Gas,NG
1573.0,Petroleum Liquids,Combustion turbine - aeroderivative,1973.0,51.0,0.0,260.0,Oil,DFO
1588.0,Natural Gas Fired Combined Cycle,Combined cycle,2003.0,21.0,5433.929712460064,1744.4,Gas,NG
1595.0,Natural Gas Fired Combined Cycle,Combined cycle,2002.0,22.0,1746.3598431012965,234.7,Gas,NG
1599.0,Petroleum Liquids,Combustion turbine - aeroderivative,1968.0,56.0,0.0,1495.0,Oil,RFO
1660.0,Natural Gas Fired Combined Cycle,Combined cycle,1977.0,47.0,3839.1823602098357,217.0,Gas,NG
1682.0,Natural Gas Fired Combined Cycle,Combined cycle,1975.0,49.0,1904.192149970709,118.0,Gas,NG
1702.0,Natural Gas Steam Turbine,Oil/Gas steam,1977.0,47.0,4162.652606912713,1402.3,Gas,NG
1710.0,Conventional Steam Coal,Coal,1980.0,44.0,9880.764499121266,1560.8,Coal,SUB
1728.0,Natural Gas Fired Combustion Turbine,Combustion turbine,2000.0,24.0,1280.9587586770108,142.2,Gas,NG
1730.0,Natural Gas Fired Combustion Turbine,Combustion turbine,1970.0,54.0,3044.493263034564,121.6,Gas,NG
1733.0,Conventional Steam Coal,Coal,1973.0,51.0,13174.352665495022,3293.1000000000004,Coal,SUB
1891.0,Natural Gas Steam Turbine,Oil/Gas steam,1953.0,71.0,4162.652606912713,116.0,Gas,NG
1893.0,Conventional Steam Coal,Coal,1980.0,44.0,6587.176332747511,923.3,Coal,SUB
1904.0,Natural Gas Fired Combustion Turbine,Combustion turbine,2018.0,6.0,3108.944424354763,562.8,Gas,NG
1912.0,Natural Gas Fired Combined Cycle,Combined cycle,2008.0,16.0,3195.939418950149,644.0,Gas,NG
1915.0,Conventional Steam Coal,Coal,1958.0,66.0,3293.5881663737555,598.4,Coal,SUB
1927.0,Natural Gas Fired Combined Cycle,Combined cycle,2009.0,15.0,3733.265389702093,585.9,Gas,NG
2038.0,Natural Gas Fired Combustion Turbine,Combustion turbine,2007.0,17.0,643.9938660759925,194.29999999999998,Gas,NG
2039.0,Natural Gas Fired Combustion Turbine,Combustion turbine,2009.0,15.0,967.4951051195634,191.3,Gas,NG
2047.0,Natural Gas Fired Combustion Turbine,Combustion turbine,1994.0,30.0,3805.616578793205,170.5,Gas,NG
2049.0,Natural Gas Steam Turbine,Oil/Gas steam,1973.0,51.0,4923.775922671354,919.1,Gas,NG
2070.0,Natural Gas Fired Combustion Turbine,Combustion turbine,2006.0,18.0,8044.74963724564,510.5,Gas,NG
2079.0,Conventional Steam Coal,Coal,1969.0,55.0,6328.064338240081,1046.2,Coal,SUB
2098.0,Natural Gas Steam Turbine,Oil/Gas steam,1966.0,58.0,9086.428529584067,278.4,Gas,NG
2103.0,Conventional Steam Coal,Coal,1972.0,52.0,13174.352665495022,2389.4,Coal,SUB
2107.0,Conventional Steam Coal,Coal,1967.0,57.0,6587.176332747511,1099.4,Coal,SUB
2161.0,Natural Gas Fired Combustion Turbine,Combustion turbine,1992.0,32.0,1522.246631517282,197.5,Gas,NG
2167.0,Conventional Steam Coal,Coal,1972.0,52.0,6587.176332747511,1300.0,Coal,RC
2168.0,Conventional Steam Coal,Coal,1982.0,42.0,9880.764499121266,1181.7,Coal,RC
2176.0,Natural Gas Fired Combustion Turbine,Combustion turbine,2003.0,21.0,1451.9071909700674,83.7,Gas,NG
2226.0,Natural Gas Steam Turbine,Oil/Gas steam,1958.0,66.0,2081.3263034563565,108.8,Gas,NG
2240.0,Conventional Steam Coal,Coal,1976.0,48.0,10571.548374332691,170.0,Coal,SUB
2241.0,Natural Gas Fired Combustion Turbine,Combustion turbine,2003.0,21.0,2142.6910661814936,142.8,Gas,NG
2277.0,Conventional Steam Coal,Coal,1965.0,59.0,6587.176332747511,228.7,Coal,SUB
2291.0,Conventional Steam Coal,Coal,1968.0,56.0,12831.15524311658,644.7,Coal,SUB
2292.0,Natural Gas Fired Combustion Turbine,Combustion turbine,1996.0,28.0,3564.328705952933,338.4,Gas,NG
2322.0,Natural Gas Fired Combined Cycle,Combined cycle,1994.0,30.0,15383.024295218474,1375.6,Gas,NG
2330.0,Natural Gas Steam Turbine,Oil/Gas steam,1968.0,56.0,4162.652606912713,230.0,Gas,NG
2336.0,Natural Gas Fired Combined Cycle,Combined cycle,2008.0,16.0,8703.704503894496,1032.9,Gas,NG
2364.0,Conventional Steam Coal,Coal,1968.0,56.0,6587.176332747511,459.20000000000005,Coal,BIT
2379.0,Natural Gas Fired Combustion Turbine,Combustion turbine,1973.0,51.0,1522.246631517282,83.8,Gas,NG
2390.0,Petroleum Liquids,Combustion turbine - aeroderivative,1972.0,52.0,0.0,212.0,Oil,DFO
2393.0,Natural Gas Fired Combustion Turbine,Combustion turbine,1996.0,28.0,5521.603690685413,512.0,Gas,NG
2398.0,Natural Gas Fired Combined Cycle,Combined cycle,1959.0,65.0,7143.271679274598,1400.8,Gas,NG
2399.0,Natural Gas Fired Combustion Turbine,Combustion turbine,2000.0,24.0,2561.9175173540216,242.0,Gas,NG
2404.0,Natural Gas Fired Combustion Turbine,Combustion turbine,2012.0,12.0,10398.336470460992,605.0,Gas,NG
2406.0,Natural Gas Fired Combined Cycle,Combined cycle,2006.0,18.0,8356.740273915222,1739.9999999999998,Gas,NG
2411.0,Natural Gas Fired Combined Cycle,Combined cycle,2018.0,6.0,2418.5876317249026,609.5,Gas,NG
2434.0,Natural Gas Fired Combustion Turbine,Combustion turbine,2012.0,12.0,1336.6737372195942,68.2,Gas,NG
2442.0,Conventional Steam Coal,Coal,1969.0,55.0,6587.176332747511,1636.2,Coal,BIT
2444.0,Natural Gas Steam Turbine,Oil/Gas steam,1972.0,52.0,7515.959679599839,398.3,Gas,NG
2446.0,Natural Gas Steam Turbine,Oil/Gas steam,1967.0,57.0,3603.5729349736384,212.0,Gas,NG
2450.0,Natural Gas Steam Turbine,Oil/Gas steam,1962.0,62.0,6243.978910369069,154.0,Gas,NG
2454.0,Natural Gas Steam Turbine,Oil/Gas steam,1965.0,59.0,5465.824684145898,519.1999999999999,Gas,NG
2480.0,Natural Gas Steam Turbine,Oil/Gas steam,1967.0,57.0,8325.305213825426,537.4000000000001,Gas,NG
2490.0,Natural Gas Steam Turbine,Oil/Gas steam,1969.0,55.0,4923.775922671354,895.5,Gas,NG
2493.0,Natural Gas Steam Turbine,Oil/Gas steam,1955.0,69.0,5448.044792151497,716.2,Gas,NG
2500.0,Natural Gas Steam Turbine,Oil/Gas steam,1965.0,59.0,8055.288814522424,2095.5,Gas,NG
2504.0,Petroleum Liquids,Combustion turbine - aeroderivative,1968.0,56.0,0.0,37.0,Oil,KER
2511.0,Natural Gas Steam Turbine,Oil/Gas steam,1956.0,68.0,12535.009080257765,669.2,Gas,NG
2514.0,Petroleum Liquids,Combustion turbine - aeroderivative,1972.0,52.0,0.0,110.0,Oil,DFO
2516.0,Natural Gas Steam Turbine,Oil/Gas steam,1968.0,56.0,8325.305213825426,1564.0,Gas,NG
2517.0,Natural Gas Steam Turbine,Oil/Gas steam,1958.0,66.0,5342.179949907882,498.0,Gas,NG
2521.0,Petroleum Liquids,Combustion turbine - aeroderivative,1971.0,53.0,0.0,52.4,Oil,DFO
2527.0,Natural Gas Steam Turbine,Oil/Gas steam,1953.0,71.0,2081.3263034563565,112.0,Gas,NG
2539.0,Natural Gas Fired Combined Cycle,Combined cycle,2005.0,19.0,3692.083936324168,893.1000000000001,Gas,NG
2594.0,Petroleum Liquids,Combustion turbine - aeroderivative,1975.0,49.0,0.0,1803.6,Oil,RFO
2625.0,Natural Gas Steam Turbine,Oil/Gas steam,1972.0,52.0,4162.652606912713,1242.0,Gas,NG
2628.0,Natural Gas Fired Combustion Turbine,Combustion turbine,1972.0,52.0,761.123315758641,46.5,Gas,NG
2632.0,Natural Gas Fired Combustion Turbine,Combustion turbine,1972.0,52.0,761.123315758641,41.9,Gas,NG
2679.0,Natural Gas Fired Combustion Turbine,Combustion turbine,2004.0,20.0,688.7892691951896,78.6,Gas,NG
2682.0,Natural Gas Fired Combustion Turbine,Combustion turbine,2001.0,23.0,4757.22611869857,96.3,Gas,NG
2706.0,Natural Gas Fired Combustion Turbine,Combustion turbine,2000.0,24.0,6122.082710781677,1011.4999999999998,Gas,NG
2707.0,Petroleum Liquids,Combustion turbine - aeroderivative,1971.0,53.0,0.0,70.0,Oil,DFO
2712.0,Conventional Steam Coal,Coal,1973.0,51.0,13174.352665495022,2558.2,Coal,BIT
2716.0,Petroleum Liquids,Combustion turbine - aeroderivative,1971.0,53.0,0.0,163.0,Oil,DFO
2718.0,Conventional Steam Coal,Coal,1961.0,63.0,6587.176332747511,435.2,Coal,BIT
2720.0,Natural Gas Fired Combined Cycle,Combined cycle,2011.0,13.0,4049.571428571428,697.9000000000001,Gas,NG
2721.0,Natural Gas Steam Turbine,Oil/Gas steam,2012.0,12.0,2081.3263034563565,1530.5,Gas,NG
2723.0,Natural Gas Fired Combined Cycle,Combined cycle,2012.0,12.0,4027.324431558065,697.9000000000001,Gas,NG
2727.0,Natural Gas Steam Turbine,Oil/Gas steam,1969.0,55.0,10749.828939660223,2119.0,Gas,NG
2790.0,Natural Gas Fired Combustion Turbine,Combustion turbine,2014.0,10.0,1265.5277576460355,88.0,Gas,NG
2817.0,Conventional Steam Coal,Coal,1975.0,49.0,6587.176332747511,656.0,Coal,LIG
2823.0,Conventional Steam Coal,Coal,1977.0,47.0,6587.176332747511,734.0,Coal,LIG
2828.0,Conventional Steam Coal,Coal,1977.0,47.0,9880.764499121266,1880.4,Coal,BIT
2832.0,Conventional Steam Coal,Coal,1978.0,46.0,6587.176332747511,1180.8000000000002,Coal,BIT
2847.0,Natural Gas Fired Combustion Turbine,Combustion turbine,1996.0,28.0,4532.887356124213,680.6000000000001,Gas,NG
2869.0,Natural Gas Fired Combustion Turbine,Combustion turbine,2001.0,23.0,2972.8675589292843,555.6,Gas,NG
2876.0,Conventional Steam Coal,Coal,1955.0,69.0,16467.94083186878,1086.5,Coal,BIT
2880.0,Natural Gas Fired Combustion Turbine,Combustion turbine,2001.0,23.0,3305.9671668748524,450.0,Gas,NG
2951.0,Natural Gas Steam Turbine,Oil/Gas steam,1969.0,55.0,7433.125933940784,947.0,Gas,NG
2952.0,Natural Gas Steam Turbine,Oil/Gas steam,1977.0,47.0,7456.2407732864685,1716.0,Gas,NG
2953.0,Natural Gas Fired Combustion Turbine,Combustion turbine,2017.0,7.0,9538.092068774265,462.0,Gas,NG
2956.0,Natural Gas Steam Turbine,Oil/Gas steam,1971.0,53.0,6243.978910369069,1701.0,Gas,NG
2963.0,Natural Gas Steam Turbine,Oil/Gas steam,1970.0,54.0,7927.6401892421545,1477.5,Gas,NG
2964.0,Natural Gas Steam Turbine,Oil/Gas steam,1967.0,57.0,7728.866331960353,658.0,Gas,NG
2965.0,Natural Gas Steam Turbine,Oil/Gas steam,1956.0,68.0,4162.652606912713,348.2,Gas,NG
3006.0,Natural Gas Fired Combined Cycle,Combined cycle,1977.0,47.0,12002.752450683824,534.9,Gas,NG
3008.0,Natural Gas Steam Turbine,Oil/Gas steam,1975.0,49.0,6243.978910369069,305.0,Gas,NG
3096.0,Natural Gas Fired Combined Cycle,Combined cycle,1974.0,50.0,3808.384299941418,365.4,Gas,NG
3111.0,Petroleum Liquids,Combustion turbine - aeroderivative,1972.0,52.0,0.0,54.0,Oil,DFO
3113.0,Petroleum Liquids,Combustion turbine - aeroderivative,1997.0,27.0,0.0,194.0,Oil,DFO
3116.0,Petroleum Liquids,Combustion turbine - aeroderivative,1972.0,52.0,0.0,54.0,Oil,DFO
3118.0,Conventional Steam Coal,Coal,1970.0,54.0,6587.176332747511,1963.0,Coal,BIT
3122.0,Conventional Steam Coal,Coal,1969.0,55.0,3293.5881663737555,660.0,Coal,BIT
3131.0,Natural Gas Steam Turbine,Oil/Gas steam,1959.0,65.0,8325.305213825426,632.0,Gas,NG
3132.0,Natural Gas Fired Combustion Turbine,Combustion turbine,1972.0,52.0,761.123315758641,53.1,Gas,NG
3136.0,Conventional Steam Coal,Coal,1967.0,57.0,6587.176332747511,1883.2000000000003,Coal,BIT
3138.0,Natural Gas Steam Turbine,Oil/Gas steam,1964.0,60.0,6243.978910369069,354.4,Gas,NG
3140.0,Natural Gas Steam Turbine,Oil/Gas steam,1969.0,55.0,6243.978910369069,1616.1,Gas,NG
3148.0,Natural Gas Steam Turbine,Oil/Gas steam,1975.0,49.0,4162.652606912713,1701.0,Gas,NG
