State,Facility ID,Gross Load (MWh),SO2 Mass (short tons),CO2 Mass (short tons),NOx Mass (short tons),Heat Input (mmBtu),Technology,Technology_alt,Operating Year,Age,Total Capital Cost (2024$/kW),Total Nameplate Capacity (MW),Fuel Category,Energy Source,Latitude,Longitude,wind_cf,pvout,Wind Size (MW),Solar Size (MW),NGCC-CCS Size (MW),Wind Capital Cost ($),Solar Capital Cost ($),NGCC-CCS Capital Cost ($),Existing Capital Cost ($),Remaining Capital Cost ($),Fixed O&M - Wind ($/year),Fixed O&M - Solar ($/year),Fixed O&M - NGCC-CCS ($/year),Variable O&M - Wind ($/year),Variable O&M - Solar ($/year),Variable O&M - NGCC-CCS ($/year),Fixed O&M - Existing ($/year),Variable O&M - Existing ($/year),Fuel costs ($/MWh),NGCC-CCS Fuel Cost ($/year),Existing Fuel Cost ($/year),Annualized Capital - Wind ($),Annualized Capital - Solar ($),Annualized Capital - NGCC-CCS ($),Annualized Capital - Existing ($),Old Emissions (tonnes CO2),New Emissions (tonnes CO2),Delta Emissions (tonnes CO2),Net Capital Cost - Wind ($/year),Net Fixed O&M - Wind ($/year),Net Variable O&M - Wind ($/year),Net Fuel Cost - Wind ($/year),Net Capital Cost - Solar ($/year),Net Fixed O&M - Solar ($/year),Net Variable O&M - Solar ($/year),Net Fuel Cost - Solar ($/year),Net Capital Cost - NGCC-CCS ($/year),Net Fixed O&M - NGCC-CCS ($/year),Net Variable O&M - NGCC-CCS ($/year),Net Fuel Cost - NGCC-CCS ($/year),Total Cost - Wind ($/year),Total Cost - Solar ($/year),Total Cost - NGCC-CCS ($/year),MACC - Wind ($/tonne CO2),MACC - Solar ($/tonne CO2),MACC - NGCC-CCS ($/tonne CO2)
AZ,116,626683.21,1.707,337870.985,23.692,5685360.904,Natural Gas Fired Combustion Turbine,Combustion turbine,2019.0,5.0,8335.169537784614,626.2,Gas,NG,33.4225,-111.9122,0.06670708,1890.899,1072.4374956865204,331.42076554115187,130.07123495226233,2249973865.95032,479897268.5035879,408423677.7501037,5219483164.560725,22401346966.17226,31787047.372148465,5687180.336686166,4040012.5576172676,0.0,0.0,4117308.6897,0.0,0.0,0.0,15625719.158140002,0.0,163458152.2423441,34864014.18383258,29671535.615306847,1627433473.0032861,306511.3881659295,23621.622875919635,282889.76529000985,-1463975320.760942,31787047.372148465,0.0,0.0,-1592569458.8194535,5687180.336686166,0.0,0.0,-1597761937.3879793,4040012.5576172676,4117308.6897,15625719.158140002,-1432188273.3887935,-1586882278.4827673,-1573978896.9825222,-4672.545062545867,-5177.23758317166,-5563.930159752961
AZ,117,2112982.33,4.894,969426.802,133.486,16312518.425,Natural Gas Fired Combined Cycle,Combined cycle,2003.0,21.0,8696.129357130065,1206.7999999999997,Gas,NG,33.4417,-112.1583,0.045467876,1898.935,5305.020943993341,1112.7196374818432,438.56005188875054,11129933940.498028,1611218035.0737088,1377078562.9306767,10494488908.18456,17730218195.86496,157240820.7799626,19094268.979188427,13621675.211664591,0.0,0.0,13882293.908100002,0.0,0.0,0.0,52685101.41622,0.0,808577585.7333136,117053236.42123765,100043258.63319214,1288081052.4106178,879449.1625443294,79644.82045520568,799804.3420891238,-479503466.67730427,157240820.7799626,0.0,0.0,-1171027815.9893801,19094268.979188427,0.0,0.0,-1188037793.7774258,13621675.211664591,13882293.908100002,52685101.41622,-322262645.89734167,-1151933547.0101917,-1107848723.2414412,-366.43692395476893,-1309.8352878949129,-1385.149673415991
AZ,118,129391.26,0.483,95661.122,24.419,1609688.576,Natural Gas Fired Combustion Turbine,Combustion turbine,2002.0,22.0,2112.0103030148666,184.5,Gas,NG,32.5517,-111.3,0.11751835,1910.623,125.68839280086115,67.72202408613845,26.85580323785803,263694248.0962067,98061490.87672848,84327222.16687422,389665900.9062429,621068245.8697413,3725403.962617525,1162109.9333181358,834141.2485678704,0.0,0.0,850100.5782,0.0,0.0,0.0,3226241.67684,0.0,19157100.09037587,7124060.571285519,6126280.899402792,45119932.02346972,86782.3062632334,4877.1556320458385,81905.15063118757,-25962831.933093846,3725403.962617525,0.0,0.0,-37995871.4521842,1162109.9333181358,0.0,0.0,-38993651.12406693,834141.2485678704,850100.5782,3226241.67684,-22237427.970476322,-36833761.51886606,-34083167.62045906,-256.24380047039074,-424.4386108746597,-416.1297227073407
AZ,120,170621.92,0.502,99532.362,9.428,1674743.536,Natural Gas Steam Turbine,Oil/Gas steam,1959.0,65.0,5849.583672323563,417.0,Gas,NG,32.7214,-114.7106,0.2054651,1916.102,94.79657722402214,89.04636364771517,35.41343295973433,198883219.01599845,128939134.56189157,111198179.4935658,2439276391.358926,0.0,2809770.5489200163,1528035.6001947925,1099941.2277293482,0.0,0.0,1120986.0144000002,0.0,0.0,0.0,4254286.953280001,0.0,14448649.375148945,9367287.774390148,8078426.699882444,0.0,90294.2359612614,6431.26636280128,83862.96959846011,14448649.375148945,2809770.5489200163,0.0,0.0,9367287.774390148,1528035.6001947925,0.0,0.0,8078426.699882444,1099941.2277293482,1120986.0144000002,4254286.953280001,17258419.92406896,10895323.374584941,14553640.895291794,191.1353448017798,120.66466102287329,173.54072917970015
AZ,124,1343.8,0.032,1099.476,0.481,18501.683,Natural Gas Fired Combustion Turbine,Combustion turbine,2001.0,23.0,594.5735117858569,85.0,Gas,NG,32.252273,-110.992148,0.07167208,1907.701,2.140328962231832,0.7044080623311392,0.2789124117891241,4490410.162762384,1019982.8742554894,875784.9730178497,50538748.50179784,75991591.49885753,63439.350440551505,12087.642349602347,8663.019510170196,0.0,0.0,8828.766,0.0,0.0,0.0,33506.3092,0.0,326223.4104685329,74100.645553151,63624.824989087145,5520706.404788325,997.4278052172001,50.65196627919999,946.7758389380001,-5194482.994319792,63439.350440551505,0.0,0.0,-5446605.759235173,12087.642349602347,0.0,0.0,-5457081.579799238,8663.019510170196,8828.766,33506.3092,-5131043.64387924,-5434518.116885571,-5406083.485089067,-5144.275723055368,-5448.532804539321,-5709.993076241869
AZ,126,856948.65,15.752,534907.985,816.497,9000847.26,Natural Gas Steam Turbine,Oil/Gas steam,1967.0,57.0,24942.699400386897,528.9000000000001,Gas,NG,32.16,-110.9047,0.1058027,1928.52,924.6000998076418,444.3555894267002,177.8639788293898,1939811009.3964324,643426893.4898618,558492893.5242839,13192193712.864632,0.0,27405146.9582985,7625141.914562175,5524455.182440846,0.0,0.0,5630152.6305,0.0,0.0,0.0,21367157.6391,0.0,140925158.32906055,46744263.43546101,40573900.78946606,0.0,485260.3398998295,32301.037448136587,452959.30245169287,140925158.32906055,27405146.9582985,0.0,0.0,46744263.43546101,7625141.914562175,0.0,0.0,40573900.78946606,5524455.182440846,5630152.6305,21367157.6391,168330305.28735906,54369405.35002318,73095666.2415069,346.8865914781061,112.0417245745788,161.37358443875297
SC,130,9164494.42,4638.007,9307816.625,3264.528,90719494.544,Conventional Steam Coal,Coal,2008.0,16.0,10765.507505523248,2390.1,Coal,BIT,33.371506,-80.113235,0.27377507,1580.072,3821.294604540709,5800.0485391739,1902.1366583644665,8017076080.326407,8398470284.723807,5972709107.264424,25730639488.951115,58174504604.66062,113263172.07858661,99528832.93222412,59080364.60880032,0.0,0.0,60210728.3394,0.0,0.0,0.0,228507503.86828,0.0,582431850.5686078,610139724.3666915,433910815.289452,4226314436.001333,8443908.832605638,345438.0579905912,8098470.774615047,-3643882585.4327254,113263172.07858661,0.0,0.0,-3616174711.6346416,99528832.93222412,0.0,0.0,-3792403620.711881,59080364.60880032,60210728.3394,228507503.86828,-3530619413.354139,-3516645878.7024174,-3444605023.895401,-418.12618816073285,-416.471322513941,-425.34018085150615
FL,136,10398419.64,3194.442,6452594.227,1465.672,79255280.689,Conventional Steam Coal,Coal,1984.0,40.0,6921.469613961109,1897.8,Coal,BIT,29.733056,-81.632778,0.1774386,1588.472,6689.8305660598735,6546.177294620673,2158.24400996264,14035264527.593615,9478864722.610735,6776886191.28269,13135565033.375391,0.0,198286577.97801465,112332402.37569076,67035058.9494396,0.0,0.0,68317617.03480001,0.0,0.0,0.0,259274195.30376,0.0,1019646690.4045477,688629204.2590781,492333405.0886193,0.0,5853694.758042727,391948.50495776965,5461746.253084957,1019646690.4045477,198286577.97801465,0.0,0.0,688629204.2590781,112332402.37569076,0.0,0.0,492333405.0886193,67035058.9494396,68317617.03480001,259274195.30376,1217933268.3825624,800961606.634769,886960276.3766189,208.06231256065652,136.83009445176177,162.39499882947462
AZ,141,163506.94,0.519,102744.69,213.28,1728862.029,Petroleum Liquids,Combustion turbine - aeroderivative,1961.0,63.0,9171.191716695568,712.3,Oil,DFO,33.5561,-112.2153,0.054393373,1900.396,343.1516415366915,86.03835218348561,33.93668327106683,719932143.9439788,124583533.96168716,106561185.47114985,6532639859.802253,0.0,10171014.655147538,1476418.123468613,1054073.3823993357,0.0,0.0,1074240.5958,0.0,0.0,0.0,4076882.04196,0.0,52302286.60422604,9050858.1318999,7741554.13156807,0.0,93208.41077424299,6163.080824002959,87045.32995024003,52302286.60422604,10171014.655147538,0.0,0.0,9050858.1318999,1476418.123468613,0.0,0.0,7741554.13156807,1054073.3823993357,1074240.5958,4076882.04196,62473301.259373575,10527276.255368514,13946750.151727404,670.2539045611247,112.94341538411466,160.22399087579018
AZ,147,1285009.72,2.676,530083.426,42.571,8919617.088,Natural Gas Fired Combined Cycle,Combined cycle,2002.0,22.0,8034.550090420521,573.7,Gas,NG,33.3556,-111.9353,0.050698236,1898.204,2893.4065387752235,676.9608186912394,266.71019510170197,6070366918.350418,980239265.4649147,837470012.6193441,4609421386.874253,7346717402.170814,85760569.80929762,11616647.64874167,8284018.659858862,0.0,0.0,8442513.8604,0.0,0.0,0.0,32040432.35848,0.0,441005548.9633502,71213315.63582948,60841284.82235145,533731022.292697,480883.57379078213,48435.979316776466,432447.5944740057,-92725473.32934684,85760569.80929762,0.0,0.0,-462517706.6568675,11616647.64874167,0.0,0.0,-472889737.47034556,8284018.659858862,8442513.8604,32040432.35848,-6964903.520049214,-450901059.00812584,-424122772.5916067,-14.483554647427889,-937.6511978849567,-980.7495243613862
