State,Facility ID,Gross Load (MWh),SO2 Mass (short tons),CO2 Mass (short tons),NOx Mass (short tons),Heat Input (mmBtu),Technology,Technology_alt,Operating Year,Age,Total Capital Cost (2024$/kW),Total Nameplate Capacity (MW),Fuel Category,Energy Source,Latitude,Longitude,wind_cf,pvout,Wind Size (MW),Solar Size (MW),NGCC-CCS Size (MW),Wind Capital Cost ($),Solar Capital Cost ($),NGCC-CCS Capital Cost ($),Existing Capital Cost ($),Remaining Capital Cost ($),Fixed O&M - Wind ($/year),Fixed O&M - Solar ($/year),Fixed O&M - NGCC-CCS ($/year),Variable O&M - Wind ($/year),Variable O&M - Solar ($/year),Variable O&M - NGCC-CCS ($/year),Fixed O&M - Existing ($/year),Variable O&M - Existing ($/year),Fuel costs ($/MWh),NGCC-CCS Fuel Cost ($/year),Existing Fuel Cost ($/year),Annualized Capital - Wind ($),Annualized Capital - Solar ($),Annualized Capital - NGCC-CCS ($),Annualized Capital - Existing ($),Old Emissions (tonnes CO2),New Emissions (tonnes CO2),Delta Emissions (tonnes CO2),Net Capital Cost - Wind ($/year),Net Fixed O&M - Wind ($/year),Net Variable O&M - Wind ($/year),Net Fuel Cost - Wind ($/year),Net Capital Cost - Solar ($/year),Net Fixed O&M - Solar ($/year),Net Variable O&M - Solar ($/year),Net Fuel Cost - Solar ($/year),Net Capital Cost - NGCC-CCS ($/year),Net Fixed O&M - NGCC-CCS ($/year),Net Variable O&M - NGCC-CCS ($/year),Net Fuel Cost - NGCC-CCS ($/year),Total Cost - Wind ($/year),Total Cost - Solar ($/year),Total Cost - NGCC-CCS ($/year),MACC - Wind ($/tonne CO2),MACC - Solar ($/tonne CO2),MACC - NGCC-CCS ($/tonne CO2)
NY,2682,42292.25,0.148,29155.55,28.303,490639.425,Natural Gas Fired Combustion Turbine,Combustion turbine,2001.0,23.0,4757.22611869857,96.3,Gas,NG,42.0933,-79.2478,0.28196284,1269.609,17.122407346692437,33.3112396865692,8.77796803652968,35922810.61336073,48234675.0661522,27562819.634703197,458120875.23067224,688844410.2724445,507508.1537559639,571620.8730215274,272643.68721461185,0.0,0.0,277860.0825,0.0,0.0,0.0,1054514.9615,0.0,2609753.088723772,3504196.6396320784,2002408.8440576878,50043796.592296585,26449.468880084998,1594.1253317989997,24855.343548285997,-47434043.503572814,507508.1537559639,0.0,0.0,-46539599.95266451,571620.8730215274,0.0,0.0,-48041387.7482389,272643.68721461185,277860.0825,1054514.9615,-46926535.34981685,-45967979.07964298,-46436369.017024286,-1774.1957527604634,-1737.954712363028,-1868.2650242517568
NC,2706,3954153.49,8.07,1598661.793,398.192,26895232.306,Natural Gas Fired Combustion Turbine,Combustion turbine,2000.0,24.0,6122.082710781677,1011.4999999999998,Gas,NG,35.4731,-82.5417,0.28669307,1575.323,1574.462228960509,2510.0588862744075,820.7043358239935,3303221756.3591475,3634565267.325342,2577011614.4873395,6192486661.955665,8784160682.374472,46667060.466389485,43072610.48846883,25491076.670693234,0.0,0.0,25978788.429300003,0.0,0.0,0.0,98592863.11966002,0.0,239975465.009734,264047210.41071856,187217088.68971437,638159711.9281757,1450281.5190841672,149044.23964746314,1301237.279436704,-398184246.91844165,46667060.466389485,0.0,0.0,-374112501.5174571,43072610.48846883,0.0,0.0,-450942623.2384613,25491076.670693234,25978788.429300003,98592863.11966002,-351517186.4520522,-331039891.0289883,-300879895.01880807,-242.37858776138197,-228.25905637826472,-231.2260029539399
NC,2707,0.0,3.633,1176.8,8.717,14526.6,Petroleum Liquids,Combustion turbine - aeroderivative,1971.0,53.0,0.0,70.0,Oil,DFO,34.9833,-79.8775,0.16170716,1541.355,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1067.57495496,0.0,1067.57495496,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NC,2709,6596810.9,11.313,2773017.845,965.461,46646842.201,,,,,,,,,35.379866,-78.087795,0.3064922,1540.259,2457.030103148655,4282.9230394327,1369.2011000415112,5154849156.405878,6201672561.098549,4299291454.130345,,0.0,72826372.25732614,73494959.35666513,42527386.16728934,0.0,0.0,43341047.613000005,,0.0,0.0,164484882.98060003,0.0,374494180.1082752,450544760.9815029,312338844.3210318,0.0,2515639.3618109715,248654.14738581557,2266985.214425156,374494180.1082752,,0.0,0.0,450544760.9815029,,0.0,0.0,312338844.3210318,,43341047.613000005,164484882.98060003,,,,,,
NC,2712,2390750.27,2585.819,4504462.795,3088.877,43955510.321,Conventional Steam Coal,Coal,1973.0,51.0,13174.352665495022,2558.2,Coal,BIT,36.4833,-79.0731,0.32661352,1520.901,835.5952703553467,1571.9302363959994,496.21217725197175,1753078877.2055173,2276154982.301407,1558106236.5711913,33702628988.86936,0.0,24767043.813332476,26974322.85655535,15412350.225446241,0.0,0.0,15707229.2739,0.0,0.0,0.0,59610967.23218,0.0,127359272.18517496,165360181.84684488,113194722.07275103,0.0,4086379.7293432364,90114.75075013265,3996264.9785931036,127359272.18517496,24767043.813332476,0.0,0.0,165360181.84684488,26974322.85655535,0.0,0.0,113194722.07275103,15412350.225446241,15707229.2739,59610967.23218,152126315.99850744,192334504.70340022,203925268.80427727,37.22765040804399,47.067212898080875,51.02896577095089
NC,2713,3965515.82,6.61,1639087.729,572.005,27580128.849,,,,,,,,,34.283056,-77.985278,0.2934479,1547.93,1542.6398584127007,2561.818481715793,823.0626442507264,3236458422.9498463,3709513161.5244684,2584416702.947281,,0.0,45723845.40335245,43960805.14624301,25564325.730427563,0.0,0.0,26053438.9374,,0.0,0.0,98876171.45588,0.0,235125181.51010114,269492093.3427563,187755060.30581662,0.0,1486955.3097065464,149472.52090658885,1337482.7887999576,235125181.51010114,,0.0,0.0,269492093.3427563,,0.0,0.0,187755060.30581662,,26053438.9374,98876171.45588,,,,,,
NC,2716,0.0,7.427,2405.6,17.822,29704.3,Petroleum Liquids,Combustion turbine - aeroderivative,1971.0,53.0,0.0,163.0,Oil,DFO,34.587538,-78.97552,0.2565113,1558.522,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2182.32351432,0.0,2182.32351432,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NC,2718,138978.99,15.539,154136.078,229.337,1502307.933,Conventional Steam Coal,Coal,1961.0,63.0,6587.176332747511,435.2,Coal,BIT,35.1897,-81.0122,0.2480396,1555.234,63.96229249792609,89.36210834806263,28.845784557907844,134192889.66064894,129396332.8879947,90575763.51183064,2866739140.011717,0.0,1895842.3496385294,1533453.779252755,895950.0683686177,0.0,0.0,913091.9643,0.0,0.0,0.0,3465302.13666,0.0,9748967.363550156,9400502.735116612,6580230.626514432,0.0,139829.8916796066,5238.546744305158,134591.34493530146,9748967.363550156,1895842.3496385294,0.0,0.0,9400502.735116612,1533453.779252755,0.0,0.0,6580230.626514432,895950.0683686177,913091.9643,3465302.13666,11644809.713188685,10933956.514369367,11854574.79584305,83.2784004429506,78.1947005967968,88.07828468867434
NC,2720,3950426.17,8.114,1607244.542,119.662,27044907.141,Natural Gas Fired Combined Cycle,Combined cycle,2011.0,13.0,4049.571428571428,697.9000000000001,Gas,NG,35.7133,-80.3767,0.24910422,1545.373,1810.3343230651533,2556.292914509164,819.9307119136571,3798081409.790692,3701512140.209269,2574582435.4088836,2826195900.0,7610303406.765747,53658309.335651144,43865986.41297725,25467047.91203819,0.0,0.0,25954299.9369,0.0,0.0,0.0,98499926.12278,0.0,275926480.1718777,268910827.8533984,187040611.47385016,552880258.6105295,1458067.6576609071,148903.74546160823,1309163.9121992989,-276953778.43865186,53658309.335651144,0.0,0.0,-283969430.75713116,43865986.41297725,0.0,0.0,-365839647.1366794,25467047.91203819,25954299.9369,98499926.12278,-223295469.1030007,-240103444.3441539,-215918373.1649612,-153.1447926505829,-164.6723614522373,-164.92844872437269
NC,2721,5735134.25,1023.025,4068163.747,2022.281,51019013.276,Natural Gas Steam Turbine,Oil/Gas steam,2012.0,12.0,2081.3263034563565,1530.5,Gas,NG,35.22,-81.7594,0.23264372,1559.983,2814.1558755456736,3676.40809644849,1190.355801162308,5904099026.894823,5323438923.6574135,3737717215.6496468,3185469907.439954,9092411477.231445,83411580.15117377,63087162.93505609,36972451.18410128,0.0,0.0,37679832.0225,0.0,0.0,0.0,142999837.3895,0.0,428926367.63335586,386742043.1874596,271541087.17455685,660553796.6404767,3690575.908373071,216174.89703652696,3474401.011336544,-231627429.00712085,83411580.15117377,0.0,0.0,-273811753.4530171,63087162.93505609,0.0,0.0,-389012709.46591985,36972451.18410128,37679832.0225,142999837.3895,-148215848.85594708,-210724590.51796103,-171360588.8698186,-40.160628729971194,-57.09802365529868,-49.320901159851736
NC,2723,3864289.46,5.648,1612624.345,413.1,27135372.133,Natural Gas Fired Combined Cycle,Combined cycle,2012.0,12.0,4027.324431558065,697.9000000000001,Gas,NG,36.4862,-79.7208,0.21662521,1529.667,2036.3693288804093,2526.229224881079,802.052606890826,4272302851.9910984,3657979917.6278024,2518445185.6371937,2810669720.784374,8022604629.941391,60357986.90801533,43350093.49895932,24911753.970029056,0.0,0.0,25388381.7522,0.0,0.0,0.0,96352193.39564,0.0,310378151.75297755,265748259.2681124,182962301.383892,582833493.680255,1462948.1326315214,145656.9872160946,1317291.145415427,-272455341.9272775,60357986.90801533,0.0,0.0,-317085234.41214263,43350093.49895932,0.0,0.0,-399871192.29636306,24911753.970029056,25388381.7522,96352193.39564,-212097355.01926216,-273735140.91318333,-253218863.17849398,-144.97940855753083,-187.11199310996358,-192.22695306179844
NC,2727,7397214.42,1421.963,5647232.47,6261.623,69991223.211,Natural Gas Steam Turbine,Oil/Gas steam,1969.0,55.0,10749.828939660223,2119.0,Gas,NG,35.5975,-80.9658,0.25846764,1554.504,3267.066138763069,4758.568833039892,1535.3288542963885,6854304759.124918,6890407670.241763,4820932602.49066,22778887523.140015,0.0,96835840.35293736,81657041.17496455,47687314.21444583,0.0,0.0,48599698.7394,0.0,0.0,0.0,184442144.34828,0.0,497957779.7714755,500580616.9657362,350235505.9378269,0.0,5123082.894127209,278823.8244990712,4844259.069628137,497957779.7714755,96835840.35293736,0.0,0.0,500580616.9657362,81657041.17496455,0.0,0.0,350235505.9378269,47687314.21444583,48599698.7394,184442144.34828,594793620.1244129,582237658.1407008,630964663.2399528,116.10072146329082,113.64986086954454,130.24998336606055
ND,2790,29532.16,0.119,23608.183,9.424,397238.131,Natural Gas Fired Combustion Turbine,Combustion turbine,2014.0,10.0,1265.5277576460355,88.0,Gas,NG,46.8669,-100.8836,0.3688067,1484.741,9.140970747830181,19.890445983794457,6.129547530095476,19177756.62894772,28801365.784534372,19246779.244499795,111366442.67285113,357167268.7102595,270938.37296568655,341320.05308191286,190383.74628476548,0.0,0.0,194026.2912,0.0,0.0,0.0,736354.8774400001,0.0,1393243.143914089,2092387.8736731117,1398257.5618021432,25947813.29167355,21416.9824124001,1113.1581875814397,20303.824224818658,-24554570.14775946,270938.37296568655,0.0,0.0,-23855425.418000437,341320.05308191286,0.0,0.0,-24549555.729871407,190383.74628476548,194026.2912,736354.8774400001,-24283631.774793774,-23514105.364918526,-23428790.81494664,-1133.8493587562518,-1097.9186942463111,-1153.9102464405762
ND,2817,3666560.42,1870.418,4141625.71,5034.124,38041987.159,Conventional Steam Coal,Coal,1975.0,49.0,6587.176332747511,656.0,Coal,LIG,47.280769,-101.321213,0.395781,1474.514,1057.5472366508197,2486.6229315521146,761.0129555832295,2218734102.4934196,3600630004.8874617,2389580680.5313406,4321187674.282368,0.0,31345700.094330296,42670449.50543428,23637062.400415108,0.0,0.0,24089301.959400002,0.0,0.0,0.0,91422017.51227999,0.0,161188617.43199378,261581850.53347746,173600435.35824814,0.0,3757219.477238637,138203.96990213523,3619015.5073365015,161188617.43199378,31345700.094330296,0.0,0.0,261581850.53347746,42670449.50543428,0.0,0.0,173600435.35824814,23637062.400415108,24089301.959400002,91422017.51227999,192534317.5263241,304252300.03891176,312748817.2303432,51.24383036250704,80.97804823010274,86.41820312632979
ND,2823,4993387.37,1996.518,5462370.176,8253.113,50173327.191,Conventional Steam Coal,Coal,1977.0,47.0,6587.176332747511,734.0,Coal,LIG,47.065854,-101.213093,0.46910685,1493.507,1215.1205921481483,3343.397460069871,1036.4025259443754,2549323002.326815,4841239522.181173,3254303931.4653387,4834987428.236672,0.0,36016174.351271115,57372700.41479899,32190662.4558323,0.0,0.0,32806555.020900004,0.0,0.0,0.0,124505120.68358,0.0,185205541.1555822,351710781.5490585,236421638.27873805,0.0,4955378.649403507,188216.16958194904,4767162.479821558,185205541.1555822,36016174.351271115,0.0,0.0,351710781.5490585,57372700.41479899,0.0,0.0,236421638.27873805,32190662.4558323,32806555.020900004,124505120.68358,221221715.5068533,409083481.9638575,425923976.4390503,44.64274703477653,82.55342546085757,89.34538695542705
OH,2828,10415660.46,10688.646,10120043.719,3596.168,98664486.169,Conventional Steam Coal,Coal,1977.0,47.0,9880.764499121266,1880.4,Coal,BIT,40.2522,-80.6486,0.206489,1298.098,5758.187329836382,8023.7857848777585,2161.8224283935247,12080677017.996729,11618441816.502995,6788122425.155667,18579789564.14763,0.0,170672672.45635036,137688164.06850234,67146204.62590288,0.0,0.0,68430889.2222,0.0,0.0,0.0,259704077.90964,0.0,877648035.4202918,844067151.1793894,493149705.24873865,0.0,9180748.825207898,392598.3646342586,8788150.46057364,877648035.4202918,170672672.45635036,0.0,0.0,844067151.1793894,137688164.06850234,0.0,0.0,493149705.24873865,67146204.62590288,68430889.2222,259704077.90964,1048320707.8766421,981755315.2478917,888430877.0064816,114.18684116465879,106.93630050658311,101.09418141988547
OH,2832,3149522.73,5274.746,3130101.525,3921.629,30507779.116,Conventional Steam Coal,Coal,1978.0,46.0,6587.176332747511,1180.8000000000002,Coal,BIT,39.1128,-84.8036,0.23783985,1396.351,1511.6666290223886,2255.538068817239,653.6991967621419,3171476587.6889715,3266019123.647362,2052615477.8331256,7778137813.708262,0.0,44805798.8842236,38705033.26090383,20303897.051432125,0.0,0.0,20692364.3361,0.0,0.0,0.0,78530199.74982001,0.0,230404321.91177303,237272734.23865876,149120280.1721997,0.0,2839580.212926667,118715.22482179929,2720864.9881048677,230404321.91177303,44805798.8842236,0.0,0.0,237272734.23865876,38705033.26090383,0.0,0.0,149120280.1721997,20303897.051432125,20692364.3361,78530199.74982001,275210120.7959966,275977767.49956256,268646741.30955184,96.91929798043849,97.18963607480588,98.73578530505081
OH,2847,394193.4,3.448,289865.7,228.668,4910313.7,Natural Gas Fired Combustion Turbine,Combustion turbine,1996.0,28.0,4532.887356124213,680.6000000000001,Gas,NG,39.727249,-84.211084,0.25745803,1385.393,174.7828487630389,284.5354465039154,81.81681195516812,366694416.7048556,412007326.53766954,256904789.53922787,3085083134.5781393,3466399410.0119977,5180563.637336473,4882628.262007189,2541230.1793275215,0.0,0.0,2589850.6380000003,0.0,0.0,0.0,9828818.235600002,0.0,26639950.223085545,29931883.79888613,18663853.316604573,251830143.92711347,262961.72809479,14858.364938445598,248103.36315634442,-225190193.70402792,5180563.637336473,0.0,0.0,-221898260.12822735,4882628.262007189,0.0,0.0,-233166290.6105089,2541230.1793275215,2589850.6380000003,9828818.235600002,-220009630.06669146,-217015631.86622018,-218206391.55758137,-836.6602686280812,-825.2745882016427,-879.4979188576206
OH,2866,1073076.63,324.042,1180104.483,510.429,11251958.972,,,,,,,,,40.5317,-80.6319,0.18435952,1292.62,664.4481031063281,830.1562981026887,222.7224221668742,1394012120.3170762,1202066319.652693,699348405.603985,,0.0,19694241.776071563,14245482.075442137,6917758.432503113,0.0,0.0,7050113.4591,,0.0,0.0,26756092.692419995,0.0,101273463.1449683,87328809.6616153,50806900.41942954,0.0,1070572.73137901,40447.56755302691,1030125.1638259831,101273463.1449683,,0.0,0.0,87328809.6616153,,0.0,0.0,50806900.41942954,,7050113.4591,26756092.692419995,,,,,,
OH,2869,1111697.3,5.142,789403.311,186.705,13302722.04,Natural Gas Fired Combustion Turbine,Combustion turbine,2001.0,23.0,2972.8675589292843,555.6,Gas,NG,41.429444,-82.264444,0.39546427,1335.719,320.9040386231136,832.2838148417915,230.73833540888336,673256673.0312923,1205146963.8909142,724518373.1838937,1651725215.7411106,2483584013.927367,9511595.704789087,14281990.262685142,7166732.697799916,0.0,0.0,7303851.261000001,0.0,0.0,0.0,27719060.478200004,0.0,48911364.44913401,87552615.11221014,52635471.16634969,180429675.20590547,716134.6058685416,41903.2997114732,674231.3061570685,-131518310.75677146,9511595.704789087,0.0,0.0,-92877060.09369533,14281990.262685142,0.0,0.0,-127794204.03955579,7166732.697799916,7303851.261000001,27719060.478200004,-122006715.05198237,-78595069.8310102,-85604559.60255586,-170.36841126258702,-109.74901811327578,-126.96615956692683
OH,2876,5212400.49,3297.682,5336557.04,3144.703,52013253.607,Conventional Steam Coal,Coal,1955.0,69.0,16467.94083186878,1086.5,Coal,BIT,38.9144,-82.1289,0.2576442,1370.783,2309.4752456119686,3802.4987514156965,1081.859794520548,4845279065.29391,5506018192.049929,3397039754.7945204,17892417713.825428,0.0,68452846.27993874,65250878.57429335,33602565.21780822,0.0,0.0,34245471.2193,0.0,0.0,0.0,129965993.81766,0.0,352004249.9591159,400006228.296825,246791240.47423878,0.0,4841242.897365288,196471.4495112111,4644771.4478540765,352004249.9591159,68452846.27993874,0.0,0.0,400006228.296825,65250878.57429335,0.0,0.0,246791240.47423878,33602565.21780822,34245471.2193,129965993.81766,420457096.2390547,465257106.87111837,444605270.729007,86.84899831567567,96.10282250541935,95.72166805632996
OH,2880,233591.47,0.937,185551.575,132.777,3122265.422,Natural Gas Fired Combustion Turbine,Combustion turbine,2001.0,23.0,3305.9671668748524,450.0,Gas,NG,41.305203,-84.334622,0.39574316,1374.436,67.38130855524909,169.9544133193835,48.48307804068078,141365985.3489126,246093990.4864673,152236865.04773766,1487685225.0936837,2236928520.3052363,1997181.9855775833,2916417.7325606206,1505884.403943545,0.0,0.0,1534695.9579,0.0,0.0,0.0,5824369.71298,0.0,10270084.957316462,17878460.533083882,11059842.534375355,162510422.08121738,168329.5499009025,8804.782900393477,159524.76700050902,-152240337.12390092,1997181.9855775833,0.0,0.0,-144631961.5481335,2916417.7325606206,0.0,0.0,-151450579.54684204,1505884.403943545,1534695.9579,5824369.71298,-150243155.13832334,-141715543.81557286,-142585629.4720185,-892.553655770916,-841.8934399753483,-893.8149990939246
OK,2951,792144.41,2.865,567477.023,1047.64,9548731.991,Natural Gas Steam Turbine,Oil/Gas steam,1969.0,55.0,7433.125933940784,947.0,Gas,NG,35.50866,-97.17969,0.5192289,1607.1,174.15719891382003,492.90300667896514,164.41353466168536,365381803.3211944,713723553.6711415,516258498.837692,7039170259.441922,0.0,5162019.375805626,8458215.594611041,5106684.386591947,0.0,0.0,5204388.773700001,0.0,0.0,0.0,19751328.71894,0.0,26544590.28955529,51851239.27901672,37505617.98804413,0.0,514806.4728671481,29858.36578626043,484948.10708088765,26544590.28955529,5162019.375805626,0.0,0.0,51851239.27901672,8458215.594611041,0.0,0.0,37505617.98804413,5106684.386591947,5204388.773700001,19751328.71894,31706609.665360913,60309454.87362776,67568019.86727607,61.58937646757829,117.14976025406605,139.33041263733804
OK,2952,1902992.01,2193.331,1674060.005,1825.489,21014559.186,Natural Gas Steam Turbine,Oil/Gas steam,1977.0,47.0,7456.2407732864685,1716.0,Gas,NG,35.76135,-95.28732,0.42945835,1542.451,505.83841041215294,1233.7454794698126,394.97551058530513,1061248985.0446968,1786463454.2722888,1240223103.237858,12794909166.95958,0.0,14993050.484616213,21171072.427701987,12267939.358779576,0.0,0.0,12502657.505700001,0.0,0.0,0.0,47449202.77734,0.0,77098583.58341461,129784625.3696315,90100858.45503883,0.0,1518681.6234179232,71729.63768425882,1446951.9857336644,77098583.58341461,14993050.484616213,0.0,0.0,129784625.3696315,21171072.427701987,0.0,0.0,90100858.45503883,12267939.358779576,12502657.505700001,47449202.77734,92091634.06803083,150955697.79733348,162320658.0968584,60.63919695082022,99.39917324975247,112.1810949480505
OK,2953,565666.4,1.677,332344.388,228.862,5592422.21,Natural Gas Fired Combustion Turbine,Combustion turbine,2017.0,7.0,9538.092068774265,462.0,Gas,NG,35.46988,-97.67498,0.4669275,1637.781,138.2951095473405,345.38585926705383,117.40689082606892,290143139.8303204,500118724.218694,368657637.1938564,4406598535.77371,16832103265.709963,4099067.046983173,5926821.345022644,3646658.0290577007,0.0,0.0,3716428.248,0.0,0.0,0.0,14104326.017600002,0.0,21078583.28497734,36333080.930279225,26782576.05462641,1222833980.3418977,301497.7439244636,21321.7111311776,280176.03279328597,-1201755397.0569203,4099067.046983173,0.0,0.0,-1186500899.4116185,5926821.345022644,0.0,0.0,-1196051404.2872713,3646658.0290577007,3716428.248,14104326.017600002,-1197656330.009937,-1180574078.0665958,-1174583991.9926136,-3972.355860513486,-3915.6978845001695,-4192.307173037968
OK,2956,2795623.1,8.835,1750019.987,1958.487,29447323.507,Natural Gas Steam Turbine,Oil/Gas steam,1971.0,53.0,6243.978910369069,1701.0,Gas,NG,34.96645,-96.7258,0.4903124,1581.532,650.8810506068364,1767.6677620637995,580.2455583229556,1365548444.173143,2559582919.4683814,1821971053.1340806,10621008126.537786,0.0,19292114.339986634,30333178.7970148,18022427.041511,0.0,0.0,18367243.767,0.0,0.0,0.0,69706066.3754,0.0,99205608.05610633,185950912.96789506,132364213.77656592,0.0,1587591.3569005989,105375.65634064036,1482215.7005599586,99205608.05610633,19292114.339986634,0.0,0.0,185950912.96789506,30333178.7970148,0.0,0.0,132364213.77656592,18022427.041511,18367243.767,69706066.3754,118497722.39609297,216284091.76490986,238459950.9604769,74.63993922682477,136.23410761516996,160.88073474757442
OK,2963,3772183.52,3188.072,3439813.224,2985.105,42724484.123,Natural Gas Steam Turbine,Oil/Gas steam,1970.0,54.0,7927.6401892421545,1477.5,Gas,NG,36.4317,-95.7008,0.4812395,1567.653,894.802979331612,2406.2618643562446,782.9355583229556,1877296650.637722,3484267179.587842,2458417653.1340804,11713088379.605284,0.0,26521960.30738898,41291453.59235316,24317978.441510998,0.0,0.0,24783245.726400003,0.0,0.0,0.0,94055623.88768001,0.0,136383558.21274194,253128217.93755355,178601366.48810738,0.0,3120545.927670473,142185.23028277565,2978360.697387697,136383558.21274194,26521960.30738898,0.0,0.0,253128217.93755355,41291453.59235316,0.0,0.0,178601366.48810738,24317978.441510998,24783245.726400003,94055623.88768001,162905518.52013093,294419671.5299067,321758214.5436984,52.2041726979939,94.34877048891721,108.03198377748895
OK,2964,1161258.72,3.957,782904.114,1772.379,13192493.682,Natural Gas Steam Turbine,Oil/Gas steam,1967.0,57.0,7728.866331960353,658.0,Gas,NG,35.1009,-98.3524,0.42619985,1652.026,311.0366623237857,702.930050322177,241.02505603985057,652554917.5553024,1017842712.8665123,756818675.9651308,5085594046.429913,0.0,9219126.671277009,12062279.663528558,7486238.240597758,0.0,0.0,7629469.7904,0.0,0.0,0.0,28954824.92448,0.0,47407404.44787022,73945165.1578288,54982053.0042055,0.0,710238.6337878557,43771.42247869247,666467.2113091632,47407404.44787022,9219126.671277009,0.0,0.0,73945165.1578288,12062279.663528558,0.0,0.0,54982053.0042055,7486238.240597758,7629469.7904,28954824.92448,56626531.119147226,86007444.82135735,99052585.95968327,79.72888044282487,121.09654520292864,148.62334452299768
OK,2965,242123.21,0.849,168255.437,377.159,2831284.638,Natural Gas Steam Turbine,Oil/Gas steam,1956.0,68.0,4162.652606912713,348.2,Gas,NG,36.116492,-95.990974,0.34363106,1570.21,80.43404620930148,154.19798372406157,50.253883354088835,168750628.9471145,223278680.43244115,157797193.73183894,1449435637.7270067,0.0,2384065.129643696,2646037.4007048965,1560885.6169779992,0.0,0.0,1590749.4897,0.0,0.0,0.0,6037100.11814,0.0,12259549.50626872,16220953.092350952,11463794.3608022,0.0,152638.7581382139,9126.370492879638,143512.38764533424,12259549.50626872,2384065.129643696,0.0,0.0,16220953.092350952,2646037.4007048965,0.0,0.0,11463794.3608022,1560885.6169779992,1590749.4897,6037100.11814,14643614.635912415,18866990.49305585,20652529.5856202,95.93641100416102,123.60550310538987,143.90764396352537
OK,3006,1101809.93,0.446,88154.182,142.512,9927476.327,Natural Gas Fired Combined Cycle,Combined cycle,1977.0,47.0,12002.752450683824,534.9,Gas,NG,35.0847,-98.23,0.4152862,1647.643,302.86916663378264,668.7188712746687,228.6861623080116,635419511.5976759,968304925.6057203,718074549.6471565,6420272285.870776,0.0,8977042.099025317,11475215.831073316,7102992.20128684,0.0,0.0,7238891.2401,0.0,0.0,0.0,27472528.79462,0.0,46162535.857108586,70346298.83570673,52167334.40057178,0.0,79972.1251514154,41530.61424352411,38441.51090789129,46162535.857108586,8977042.099025317,0.0,0.0,70346298.83570673,11475215.831073316,0.0,0.0,52167334.40057178,7102992.20128684,7238891.2401,27472528.79462,55139577.9561339,81821514.66678004,93981746.63657862,689.4849655643796,1023.125426664142,2444.7984591907916
OK,3008,104270.15,0.335,66291.221,99.454,1115030.485,Natural Gas Steam Turbine,Oil/Gas steam,1975.0,49.0,6243.978910369069,305.0,Gas,NG,36.43725,-99.22543,0.45322835,1691.473,26.262667322909692,61.644583517091235,21.64179119966791,55099076.043464534,89261356.93274811,67955224.36695723,1904413567.662566,0.0,778425.4594510433,1057821.0531532855,672194.0346616852,0.0,0.0,685054.8855,0.0,0.0,0.0,2599871.9200999998,0.0,4002887.8986650356,6484740.419288729,4936873.080321375,0.0,60138.3814355187,3930.263522642598,56208.1179128761,4002887.8986650356,778425.4594510433,0.0,0.0,6484740.419288729,1057821.0531532855,0.0,0.0,4936873.080321375,672194.0346616852,685054.8855,2599871.9200999998,4781313.358116079,7542561.472442015,8893993.92058306,79.50518859977429,125.42009432909774,158.2332632871458
PA,3096,82280.82,0.363,71984.67,13.094,1211252.344,Natural Gas Fired Combined Cycle,Combined cycle,1974.0,50.0,3808.384299941418,365.4,Gas,NG,40.464851,-80.043761,0.22116181,1297.003,42.47020649743722,63.43918766304042,17.07779576587796,89102493.23162329,91859943.73608252,53624278.70485679,1391583623.1985939,0.0,1258816.9205840393,1088616.4602977736,530436.3364881694,0.0,0.0,540584.9874000001,0.0,0.0,0.0,2051589.9658800005,0.0,6473199.144326731,6673524.921963376,3895745.4773467644,0.0,65303.391258548996,3101.4178598488797,62201.97339870012,6473199.144326731,1258816.9205840393,0.0,0.0,6673524.921963376,1088616.4602977736,0.0,0.0,3895745.4773467644,530436.3364881694,540584.9874000001,2051589.9658800005,7732016.064910769,7762141.38226115,7018356.767114934,118.40144770274172,118.86276091741242,112.83173802427306
PA,3111,3335.42,2.601,4173.2,17.078,51511.6,Petroleum Liquids,Combustion turbine - aeroderivative,1972.0,52.0,0.0,54.0,Oil,DFO,40.12282,-77.1716,0.2820056,1393.429,1.3501706871047392,2.393677831829606,0.6922831050228311,2832658.101545743,3466045.5004892694,2173768.9497716893,0.0,0.0,40019.05916578447,41075.51159419604,21502.31324200913,0.0,0.0,21913.7094,0.0,0.0,0.0,83165.36228000002,0.0,205789.52770076186,251804.43278552132,157921.94803177632,0.0,3785.8631900399996,125.72226623527999,3660.1409238047195,205789.52770076186,40019.05916578447,0.0,0.0,251804.43278552132,41075.51159419604,0.0,0.0,157921.94803177632,21502.31324200913,21913.7094,83165.36228000002,245808.58686654633,292879.94437971734,284503.3329537855,64.92801628786518,77.36147073413473,77.73015817599833
