facility_id,macc,emissions,transition,from_fuel,to_tech,nameplate_capacity,annual_generation,cumulative_end,cumulative_start
55524,-1994.9563271097597,527644.7420347845,Gas to NGCC,Gas,NGCC,1449.4,8925530.54,527644.7420347845,0.0
55460,-1991.5675678971863,104743.71027399041,Gas to NGCC,Gas,NGCC,1174.4,7468308.66,632388.4523087749,527644.7420347845
62949,-1976.798439829991,285114.44261004403,Gas to NGCC,Gas,NGCC,2055.0,8606720.59,917502.894918819,632388.4523087749
59220,-1971.613980191078,123691.00886689848,Gas to NGCC,Gas,NGCC,1113.6,4529844.95,1041193.9037857174,917502.894918819
8027,-1957.3992385988777,24576.9841494047,Gas to NGCC,Gas,NGCC,559.4000000000001,69168.86,1065770.8879351222,1041193.9037857176
55522,-1956.9965402645448,107261.72905645432,Gas to NGCC,Gas,NGCC,605.0,535236.03,1173032.6169915765,1065770.8879351222
55233,-1954.9900771156656,25444.28401955901,Gas to NGCC,Gas,NGCC,294.5,134310.83,1198476.9010111354,1173032.6169915765
2706,-1908.1714973480557,117586.67552108387,Gas to NGCC,Gas,NGCC,1011.4999999999998,3954153.49,1316063.5765322193,1198476.9010111354
55267,-1895.6300968697237,53588.51602528518,Gas to NGCC,Gas,NGCC,701.2,203130.71,1369652.0925575045,1316063.5765322193
55228,-1893.5979727168128,18025.659395515006,Gas to NGCC,Gas,NGCC,236.0,69824.65,1387677.7519530195,1369652.0925575045
55380,-1890.7092809190342,649669.0580981877,Gas to NGCC,Gas,NGCC,2428.0,13663124.17,2037346.8100512072,1387677.7519530195
358,-1879.4787938775125,161513.66876105778,Gas to NGCC,Gas,NGCC,1036.8,2651623.48,2198860.478812265,2037346.8100512074
57839,-1856.4799744501042,53375.889028258855,Gas to NGCC,Gas,NGCC,772.9,4114204.68,2252236.367840524,2198860.478812265
56237,-1817.558086845788,260331.2240294353,Gas to NGCC,Gas,NGCC,1246.5,6630478.42,2512567.591869959,2252236.367840524
8906,-1810.1553344786205,32981.06024700758,Gas to NGCC,Gas,NGCC,1345.0,1544242.55,2545548.652116967,2512567.591869959
63259,-1808.0723016045445,63882.635750274756,Gas to NGCC,Gas,NGCC,263.2,978192.89,2609431.2878672415,2545548.652116967
60459,-1788.9060780521065,17032.6576896859,Gas to NGCC,Gas,NGCC,121.0,70681.09,2626463.9455569275,2609431.2878672415
2292,-1767.8305342134247,33328.17291316589,Gas to NGCC,Gas,NGCC,338.4,164689.29,2659792.1184700932,2626463.9455569275
60387,-1761.037821171043,65014.82878228759,Gas to NGCC,Gas,NGCC,380.0,258988.22,2724806.9472523807,2659792.1184700932
7082,-1746.0827924120965,149235.12149404897,Gas to NGCC,Gas,NGCC,745.0,2126919.85,2874042.06874643,2724806.9472523807
634,-1743.9521958244181,421421.4725450557,Gas to NGCC,Gas,NGCC,1475.6,6702336.9,3295463.5412914855,2874042.06874643
56798,-1713.807705577771,75496.53175335412,Gas to NGCC,Gas,NGCC,693.0,2774552.55,3370960.07304484,3295463.5412914855
7805,-1696.3889543633377,872877.5835916563,Gas to NGCC,Gas,NGCC,2244.8,7727186.38,4243837.656636496,3370960.07304484
2336,-1669.2592980851152,323179.1278393527,Gas to NGCC,Gas,NGCC,1032.9,3991273.74,4567016.784475849,4243837.656636496
55414,-1662.914294332232,33638.30750482469,Gas to NGCC,Gas,NGCC,541.2,153850.23,4600655.091980673,4567016.784475849
408,-1655.045478275148,56326.55123994092,Gas to NGCC,Gas,NGCC,690.5,1525954.38,4656981.643220615,4600655.091980673
55345,-1655.0316592834054,85796.08597793884,Gas to NGCC,Gas,NGCC,688.5,2232514.35,4742777.729198554,4656981.643220615
1464,-1636.6201590662417,94544.3276712892,Gas to NGCC,Gas,NGCC,492.8,278176.36,4837322.056869843,4742777.729198554
7307,-1630.23414147591,42144.8806152146,Gas to NGCC,Gas,NGCC,183.1,371345.84,4879466.937485058,4837322.056869843
56475,-1609.7290294194333,1349.3955909279998,Gas to NGCC,Gas,NGCC,49.8,5967.43,4880816.333075986,4879466.937485058
7838,-1596.1490122052662,61504.441468916004,Gas to NGCC,Gas,NGCC,705.5,308791.01,4942320.774544902,4880816.333075986
1728,-1588.520939218534,6429.770676886899,Gas to NGCC,Gas,NGCC,142.2,22835.68,4948750.545221789,4942320.774544902
56472,-1556.4085522293567,1399.9945754659002,Gas to NGCC,Gas,NGCC,49.8,5791.48,4950150.539797255,4948750.545221789
55198,-1531.8155420155015,127934.39553472766,Gas to NGCC,Gas,NGCC,1150.0,461820.84,5078084.935331983,4950150.539797255
7213,-1530.9412588551443,184711.69403140963,Coal to NGCC,Coal,NGCC,848.0,278237.11,5262796.6293633925,5078084.935331983
56467,-1519.1550646817939,91582.9834337125,Gas to NGCC,Gas,NGCC,655.0,1854624.11,5354379.612797105,5262796.6293633925
55513,-1508.3309058554626,1310.463954633,Gas to NGCC,Gas,NGCC,58.9,5711.79,5355690.076751738,5354379.612797105
55183,-1501.3347078187107,109387.5403874371,Gas to NGCC,Gas,NGCC,627.5,2980274.28,5465077.617139175,5355690.076751738
55230,-1494.6398364990243,258125.25970075373,Gas to NGCC,Gas,NGCC,1280.0,6461103.77,5723202.876839928,5465077.617139175
7783,-1492.3854203826268,799.9268831799998,Gas to NGCC,Gas,NGCC,32.0,1416.7,5724002.803723108,5723202.876839928
55463,-1489.5962332412114,342050.5395148827,Gas to NGCC,Gas,NGCC,1433.6,5169098.59,6066053.3432379905,5724002.803723108
7782,-1455.5719709778539,824.3257121969999,Gas to NGCC,Gas,NGCC,32.0,1259.79,6066877.668950188,6066053.3432379905
7238,-1450.719128554638,170577.25405289792,Gas to NGCC,Gas,NGCC,706.0,4307255.73,6237454.923003086,6066877.668950188
60357,-1450.4052081792277,103936.6253565778,Gas to NGCC,Gas,NGCC,1498.5,10684501.03,6341391.548359664,6237454.923003087
7336,-1450.1300075134702,16307.197063222597,Gas to NGCC,Gas,NGCC,168.7,49858.42,6357698.745422887,6341391.548359664
7760,-1449.6208074429699,17769.753735426693,Gas to NGCC,Gas,NGCC,188.0,75089.89,6375468.4991583135,6357698.745422887
260,-1446.1788073069365,148945.2556069463,Gas to NGCC,Gas,NGCC,1398.0,5565914.43,6524413.75476526,6375468.4991583135
7837,-1445.7868601776217,74395.92898518802,Gas to NGCC,Gas,NGCC,509.1,245545.58,6598809.683750448,6524413.75476526
50243,-1437.0612566928407,4479.4798176515005,Gas to NGCC,Gas,NGCC,186.8,13756.25,6603289.163568099,6598809.683750448
63931,-1431.8119771235952,169879.15706429956,Gas to NGCC,Gas,NGCC,1300.0,3486486.53,6773168.320632398,6603289.163568098
6253,-1430.5211692522544,8766.547404529301,Gas to NGCC,Gas,NGCC,335.70000000000005,14421.52,6781934.868036928,6773168.320632398
7843,-1419.113352119749,33972.9045994184,Gas to NGCC,Gas,NGCC,467.8,103601.36,6815907.7726363465,6781934.868036928
56998,-1414.1565787948753,291424.9556889771,Gas to NGCC,Gas,NGCC,440.0,1290378.93,7107332.728325323,6815907.7726363465
