Facility ID,Latitude,Longitude,wind_cf,pvout
3,31.0069,-88.0103,0.17066957,1559.983
10,32.6017,-87.7811,0.22265717,1548.295
26,33.244211,-86.458056,0.20900571,1537.702
47,34.7439,-87.8486,0.26394117,1500.082
54,37.8833,-84.1017,0.2608638,1405.847
56,31.488019,-87.910747,0.19005698,1561.809
59,40.854765,-98.348222,0.41150495,1576.784
60,40.580872,-98.312437,0.45317397,1586.281
108,37.9308,-100.9725,0.43814236,1717.771
113,34.9394,-110.3033,0.14044663,1906.97
116,33.4225,-111.9122,0.06670708,1890.899
117,33.4417,-112.1583,0.045467876,1898.935
118,32.5517,-111.3,0.11751835,1910.623
120,32.7214,-114.7106,0.2054651,1916.102
124,32.252273,-110.992148,0.07167208,1907.701
126,32.16,-110.9047,0.1058027,1928.52
130,33.371506,-80.113235,0.27377507,1580.072
136,29.733056,-81.632778,0.1774386,1588.472
141,33.5561,-112.2153,0.054393373,1900.396
147,33.3556,-111.9353,0.050698236,1898.204
160,32.0603,-109.8931,0.1066012,1946.052
165,36.190278,-95.2894,0.4096539,1541.355
170,34.4341,-92.9049,0.18374923,1497.525
201,35.462382,-93.804926,0.2295805,1532.954
260,36.804837,-121.782241,0.169046,1677.958
298,31.4219,-96.2525,0.4151581,1548.295
315,33.7688,-118.1009,0.050129134,1798.856
335,33.6439,-117.9792,0.09951902,1767.445
341,33.7641,-118.2248,0.04975133,1805.796
350,34.1292,-119.1689,0.19938384,1755.757
356,33.8504,-118.395,0.10050564,1754.296
358,34.0818,-117.2418,0.022937294,1848.165
377,34.1556,-118.2782,0.026861465,1813.832
384,41.494636,-88.123827,0.32128504,1405.847
389,32.802222,-115.54,0.18865246,1932.903
399,33.7706,-118.2656,0.04456671,1808.353
400,33.764741,-118.09913,0.058219694,1799.952
404,33.918151,-118.427648,0.10499862,1724.711
408,34.244991,-118.391327,0.07322737,1845.974
422,34.126,-118.1494,0.023347633,1793.012
469,39.807275,-104.964548,0.10297655,1733.111
470,38.2081,-104.5747,0.17595851,1812.005
492,38.824444,-104.833333,0.14579158,1747.356
525,40.4856,-107.185,0.09593789,1651.66
533,31.400255,-86.476449,0.20016138,1569.844
544,41.209797,-73.108976,0.27363214,1471.227
546,41.4281,-72.1019,0.24310093,1452.599
562,41.554944,-72.579075,0.22609979,1413.883
564,28.4822,-81.1678,0.15554336,1598.699
568,41.1706,-73.1844,0.27009085,1470.131
589,44.4917,-73.208056,0.2945655,1313.074
593,39.73886,-75.50384,0.30018365,1444.929
594,38.5857,-75.2341,0.3743832,1482.55
602,39.182073,-76.537151,0.2890453,1457.713
607,48.4558,-122.4358,0.25215584,1257.921
609,28.4698,-80.7644,0.22524682,1619.518
612,26.6967,-81.7831,0.18959737,1646.547
613,26.0686,-80.1984,0.114792734,1588.472
617,26.0856,-80.1253,0.22250372,1641.068
619,26.7653,-80.0525,0.23929945,1649.834
620,28.8419,-81.3256,0.20415485,1600.16
621,25.4356,-80.3308,0.24404438,1673.576
628,28.9656,-82.6977,0.22742099,1672.48
634,27.859535,-82.601759,0.2748583,1684.898
641,30.5661,-87.2244,0.19889465,1573.132
643,30.2686,-85.7003,0.20788412,1624.997
645,27.7944,-82.4036,0.23578747,1658.235
663,29.7592,-82.3878,0.17735706,1584.454
664,29.6461,-82.3208,0.1519824,1595.777
666,30.364818,-81.625967,0.22591475,1587.011
667,30.4172,-81.5525,0.26871595,1595.777
673,26.612767,-80.0677,0.2003818,1631.206
675,28.0491,-81.9238,0.19077097,1626.458
676,28.0801,-81.9229,0.21854363,1622.44
683,28.493232,-80.780124,0.2165826,1619.884
688,30.4522,-84.4,0.13422348,1576.419
689,30.162304,-84.200673,0.1405541,1606.004
703,34.1256,-84.9222,0.24718238,1521.632
710,33.8239,-84.4758,0.12969139,1539.529
728,33.4622,-84.8986,0.14346054,1545.738
762,36.71979,-97.085758,0.38146773,1614.405
874,41.4931,-88.1153,0.33369902,1404.386
876,39.590556,-89.496389,0.4089082,1449.312
879,40.5408,-89.6786,0.36412358,1437.259
889,38.205,-89.8544,0.39211074,1477.436
913,38.6642,-90.1764,0.31570065,1484.376
963,39.754803,-89.602389,0.37386692,1444.198
976,37.619747,-88.953114,0.3671576,1462.461
983,38.7378,-85.4206,0.2829384,1413.152
990,39.711319,-86.196867,0.25927398,1420.822
991,39.48517,-86.4183,0.2449187,1414.978
994,38.5281,-87.2525,0.3668186,1436.163
997,41.7208,-86.9086,0.41827697,1361.652
1001,39.9242,-87.4244,0.3429088,1422.284
1004,38.8067,-87.2472,0.36311918,1441.276
1007,40.0969,-85.9714,0.3656396,1420.457
1012,37.9111,-87.3275,0.36368605,1450.042
1040,39.8028,-84.8953,0.3472297,1396.351
1082,41.18,-95.8408,0.4123382,1483.645
1091,42.32517,-96.37971,0.406759,1484.011
1104,40.7412,-91.116667,0.37670943,1436.528
1122,42.0258,-93.6089,0.35541466,1464.653
1131,42.5267,-92.4394,0.35703495,1447.12
1167,41.3917,-91.0569,0.37793908,1442.372
1206,41.1136,-94.3472,0.48422128,1503.369
1217,43.1606,-95.2569,0.44809517,1501.543
1230,37.1611,-100.7619,0.37457547,1726.537
1233,37.7328,-99.9497,0.440097,1703.526
1235,38.41,-98.8689,0.4421692,1647.643
1239,37.072616,-94.698704,0.45475885,1539.164
1240,37.7903,-97.521667,0.44578153,1615.501
1241,38.3481,-94.6456,0.44816652,1511.039
1250,39.0072,-95.269167,0.3661378,1532.224
1268,37.6953,-95.4586,0.44856074,1559.618
1271,37.037344,-95.612689,0.44544327,1563.635
1336,37.9703,-100.8956,0.40242365,1718.866
1353,38.1707,-82.6176,0.15856269,1374.436
1355,37.78831,-84.71257,0.39902323,1421.918
1356,38.7497,-85.035,0.24544632,1395.986
1363,38.1831,-85.8892,0.24506523,1437.624
1364,38.0525,-85.9103,0.2517883,1430.319
1366,38.223592,-85.841704,0.22936334,1439.085
1378,37.2608,-86.9783,0.28931174,1443.833
1379,37.1517,-88.775,0.34112734,1465.018
1384,36.9981,-84.5919,0.21152961,1418.266
1391,30.4922,-91.1864,0.21617115,1546.469
1393,30.2844,-93.2911,0.22577636,1503.369
1396,30.8439,-92.261111,0.24179873,1530.763
1400,29.822222,-91.5425,0.23613705,1545.738
1402,30.005067,-90.461694,0.23126702,1546.103
1403,29.9472,-90.1458,0.20296797,1562.539
1416,32.5181,-93.7611,0.2377315,1534.05
1417,32.7047,-93.9597,0.2690617,1519.805
1464,30.6739,-91.3556,0.29455185,1550.486
1507,43.7508,-70.1567,0.41630846,1431.05
1554,39.1781,-76.5268,0.28516245,1453.695
1556,39.442836,-76.221761,0.2935607,1460.635
1564,38.4878,-75.8208,0.3494736,1498.986
1571,38.5444,-76.6861,0.28207362,1484.376
1572,39.2097,-77.4644,0.2959008,1433.241
1573,38.3592,-76.9767,0.311705,1491.681
1588,42.3908,-71.0675,0.2945766,1453.695
1595,42.3633,-71.0792,0.2881576,1453.695
1599,41.7694,-70.5097,0.3610077,1440.546
1660,42.235,-70.9672,0.33914453,1434.337
1682,41.8653,-71.1061,0.2640567,1444.198
1702,43.644996,-83.840074,0.4301526,1363.844
1710,42.910296,-86.20074,0.4141546,1325.858
1728,42.2947,-83.1019,0.27634126,1353.982
1730,42.5497,-83.4425,0.35565853,1366.035
1733,41.8906,-83.3464,0.43672997,1349.599
1891,47.5306,-92.1619,0.33564246,1376.992
1893,47.2611,-93.6528,0.39947754,1396.716
1904,44.8108,-93.2501,0.27936712,1425.206
1912,44.9314,-93.1117,0.24354346,1417.17
1915,45.03,-92.7786,0.38555574,1409.5
1927,45.0203,-93.2753,0.28022233,1436.894
2038,45.601,-93.2081,0.41893208,1443.833
2039,45.296797,-93.558447,0.4219687,1437.624
2047,30.34,-88.4919,0.3042385,1639.242
2049,30.4392,-89.0286,0.22768149,1601.256
2070,31.528,-89.3004,0.19126205,1547.93
2079,39.1306,-94.4778,0.28393093,1520.901
2098,39.7246,-94.8773,0.3655763,1512.5
2103,38.562244,-90.837686,0.3137154,1477.071
2107,38.915479,-90.290247,0.3303633,1467.209
2161,37.108611,-93.261944,0.39035562,1529.667
2167,36.5147,-89.5617,0.36625707,1496.794
2168,39.5522,-92.6381,0.4592866,1474.514
2176,47.0539,-104.74,0.26664895,1503.369
2226,40.6942,-99.7011,0.4152562,1620.98
2240,41.4281,-96.4623,0.39349556,1504.83
2241,40.9228,-98.3269,0.39454097,1573.862
2277,40.5589,-96.7847,0.47525495,1547.93
2291,41.32909,-95.94466,0.3659231,1486.933
2292,41.170594,-95.970603,0.3798953,1507.387
2322,36.0875,-115.0507,0.11886233,1900.761
2330,39.1281,-119.1322,0.12188766,1853.644
2336,39.5625,-119.525,0.17307682,1811.64
2364,43.1411,-71.4692,0.214736,1423.744
2379,39.4547,-75.2014,0.32008773,1478.167
2390,40.476525,-74.352336,0.2869975,1443.468
2393,40.565833,-75.163889,0.18334194,1374.801
2398,40.8375,-74.0244,0.25165424,1441.276
2399,40.076611,-74.879172,0.2931627,1438.354
2404,40.737283,-74.096464,0.2825616,1441.276
2406,40.6217,-74.2072,0.259002,1449.312
2411,40.5558,-74.2469,0.277651,1445.659
2434,39.4889,-75.0347,0.29660517,1470.496
2442,36.69,-108.4814,0.21403123,1879.942
2444,31.8047,-106.5472,0.17093018,1973.08
2446,32.714224,-103.301469,0.3969085,1856.931
2450,35.171,-106.6019,0.09376498,1906.24
2454,32.7131,-103.3533,0.39938232,1857.296
2480,41.573361,-73.96457,0.2658995,1407.674
2490,40.591564,-74.200035,0.3041999,1454.06
2493,40.7281,-73.9742,0.27984154,1450.042
2500,40.759167,-73.946111,0.29207936,1452.964
2504,40.768,-73.9515,0.3057217,1446.755
2511,40.616689,-73.647881,0.3757925,1478.167
2514,40.827149,-73.647473,0.31519032,1451.869
2516,40.923565,-73.342323,0.39141777,1458.443
2517,40.949696,-73.078507,0.38227904,1474.514
2521,40.695485,-73.348573,0.3020655,1492.046
2527,42.6789,-76.9483,0.35987714,1259.017
2539,42.594196,-73.763752,0.2866544,1370.053
2594,43.4586,-76.5319,0.4227106,1285.68
2625,41.2044,-73.9689,0.20026623,1406.578
2628,41.1269,-74.1653,0.19025911,1405.117
2632,41.4278,-74.4186,0.22002071,1419.362
2679,40.6447,-73.5683,0.34037036,1485.837
2682,42.0933,-79.2478,0.28196284,1269.609
2706,35.4731,-82.5417,0.28669307,1575.323
2707,34.9833,-79.8775,0.16170716,1541.355
2709,35.379866,-78.087795,0.3064922,1540.259
2712,36.4833,-79.0731,0.32661352,1520.901
2713,34.283056,-77.985278,0.2934479,1547.93
2716,34.587538,-78.97552,0.2565113,1558.522
2718,35.1897,-81.0122,0.2480396,1555.234
2720,35.7133,-80.3767,0.24910422,1545.373
2721,35.22,-81.7594,0.23264372,1559.983
2723,36.4862,-79.7208,0.21662521,1529.667
2727,35.5975,-80.9658,0.25846764,1554.504
2790,46.8669,-100.8836,0.3688067,1484.741
2817,47.280769,-101.321213,0.395781,1474.514
2823,47.065854,-101.213093,0.46910685,1493.507
2828,40.2522,-80.6486,0.206489,1298.098
2832,39.1128,-84.8036,0.23783985,1396.351
2847,39.727249,-84.211084,0.25745803,1385.393
2866,40.5317,-80.6319,0.18435952,1292.62
2869,41.429444,-82.264444,0.39546427,1335.719
2876,38.9144,-82.1289,0.2576442,1370.783
2880,41.305203,-84.334622,0.39574316,1374.436
2951,35.50866,-97.17969,0.5192289,1607.1
2952,35.76135,-95.28732,0.42945835,1542.451
2953,35.46988,-97.67498,0.4669275,1637.781
2956,34.96645,-96.7258,0.4903124,1581.532
2963,36.4317,-95.7008,0.4812395,1567.653
2964,35.1009,-98.3524,0.42619985,1652.026
