facility_id,macc,emissions,transition,from_fuel,to_tech,nameplate_capacity,annual_generation,cumulative_end,cumulative_start
57881,-1989.2141515680555,113970.93412675025,Gas to NGCC,Gas,NGCC,293.1000000000001,491755.51,113970.93412675025,0.0
56629,-1969.136132617817,7432.369025795497,Gas to NGCC,Gas,NGCC,96.0,41268.13,121403.30315254575,113970.93412675025
56150,-1955.2798502493952,361909.33822722733,Gas to NGCC,Gas,NGCC,1376.6000000000001,9237842.97,483312.6413797731,121403.30315254576
55146,-1950.6648537474748,180575.6776240063,Gas to NGCC,Gas,NGCC,903.9000000000001,3938030.93,663888.3190037794,483312.64137977315
55215,-1943.9344944505615,174134.32975608623,Gas to NGCC,Gas,NGCC,1152.8,7153349.23,838022.6487598657,663888.3190037794
55131,-1942.9251479315826,360115.30277405516,Gas to NGCC,Gas,NGCC,1256.0,6031041.67,1198137.9515339208,838022.6487598657
55951,-1938.1891689133781,2437.1342882899994,Gas to NGCC,Gas,NGCC,60.5,10908.5,1200575.0858222109,1198137.9515339208
55091,-1936.6384810244756,362987.37881646026,Gas to NGCC,Gas,NGCC,1734.0,5433406.41,1563562.4646386711,1200575.0858222109
56473,-1930.7032872616967,2341.6533080135,Gas to NGCC,Gas,NGCC,49.8,12052.76,1565904.1179466846,1563562.4646386711
7987,-1922.7333796712544,1951.3083057270992,Gas to NGCC,Gas,NGCC,60.5,10202.95,1567855.4262524117,1565904.1179466846
7302,-1914.4732043717577,1857245.897524802,Gas to NGCC,Gas,NGCC,2266.3,7062107.65,3425101.3237772137,1567855.4262524117
55137,-1905.058850734177,89679.53858951991,Gas to NGCC,Gas,NGCC,940.2,4703659.02,3514780.8623667336,3425101.3237772137
3804,-1898.7010456277897,86655.3694486497,Gas to NGCC,Gas,NGCC,709.0,1932251.26,3601436.2318153833,3514780.8623667336
7063,-1892.5076418138358,196733.35284689674,Gas to NGCC,Gas,NGCC,676.0,758280.61,3798169.58466228,3601436.2318153833
7916,-1889.1629705137673,156127.52062151095,Gas to NGCC,Gas,NGCC,726.0,524114.19,3954297.105283791,3798169.58466228
1239,-1877.700496718393,66999.71182783943,Gas to NGCC,Gas,NGCC,300.2,1188051.98,4021296.8171116305,3954297.105283791
7296,-1874.7230349156807,83375.01700176462,Gas to NGCC,Gas,NGCC,690.5,2385458.76,4104671.834113395,4021296.81711163
55625,-1832.1294405385618,2003.605627249,Gas to NGCC,Gas,NGCC,47.0,8440.24,4106675.439740644,4104671.834113395
7844,-1832.0579735626457,1595.5464555326002,Gas to NGCC,Gas,NGCC,49.0,6970.67,4108270.9861961766,4106675.439740644
2847,-1822.8596930844808,130104.08539701003,Gas to NGCC,Gas,NGCC,680.6000000000001,394193.4,4238375.071593187,4108270.9861961766
2070,-1817.4098686071184,285285.4687222766,Gas to NGCC,Gas,NGCC,510.5,2200212.09,4523660.540315463,4238375.071593187
55855,-1817.230015469967,2023.5390456714995,Gas to NGCC,Gas,NGCC,47.0,8269.03,4525684.079361135,4523660.540315463
55271,-1794.1793481231236,135212.50439327944,Gas to NGCC,Gas,NGCC,939.4,2767580.65,4660896.583754415,4525684.079361135
3295,-1787.4671465072229,388235.52595154336,Gas to NGCC,Gas,NGCC,758.9,1427856.3,5049132.1097059585,4660896.583754415
55694,-1778.016345331451,145681.3025825934,Gas to NGCC,Gas,NGCC,850.5,2316739.44,5194813.412288552,5049132.1097059585
7839,-1766.96232162386,182955.3475803978,Gas to NGCC,Gas,NGCC,892.5,853290.57,5377768.75986895,5194813.412288552
55439,-1745.955780801778,187160.09190432355,Gas to NGCC,Gas,NGCC,1011.4,3977946.24,5564928.851773273,5377768.75986895
8906,-1742.3352449297322,32981.06024700758,Gas to NGCC,Gas,NGCC,1345.0,1544242.55,5597909.912020281,5564928.851773273
2039,-1742.1930599275393,17257.1317978438,Gas to NGCC,Gas,NGCC,191.3,58015.12,5615167.043818125,5597909.912020281
2880,-1716.7069352143803,89600.65170395348,Gas to NGCC,Gas,NGCC,450.0,233591.47,5704767.695522078,5615167.043818125
55111,-1715.8605493354185,200450.171116294,Gas to NGCC,Gas,NGCC,692.0,576508.6,5905217.866638373,5704767.695522078
56032,-1706.415781243939,11357.138213543698,Gas to NGCC,Gas,NGCC,120.0,57166.65,5916575.004851917,5905217.866638373
62565,-1697.7737082827891,77410.24077715701,Gas to NGCC,Gas,NGCC,664.7,4035893.91,5993985.245629074,5916575.004851917
1912,-1695.1440700554647,144408.7460507073,Gas to NGCC,Gas,NGCC,644.0,2506403.22,6138393.991679781,5993985.245629074
56569,-1695.0923721948864,15401.829589396195,Gas to NGCC,Gas,NGCC,121.0,91473.57,6153795.821269177,6138393.991679781
55098,-1690.0254705119517,52636.11448759062,Gas to NGCC,Gas,NGCC,529.0,1432354.71,6206431.935756767,6153795.821269177
58471,-1681.5999163749289,121571.97183523711,Gas to NGCC,Gas,NGCC,358.8,433683.18,6328003.907592004,6206431.935756767
55836,-1678.9838776673541,3056.0441335900996,Gas to NGCC,Gas,NGCC,60.5,7808.72,6331059.951725595,6328003.907592004
61144,-1678.797350192036,90196.15721498479,Gas to NGCC,Gas,NGCC,349.0,407920.4,6421256.10894058,6331059.951725595
56502,-1677.6815788466356,376219.6514671624,Gas to NGCC,Gas,NGCC,730.1999999999999,1239721.93,6797475.760407742,6421256.10894058
3609,-1672.0424349680468,43996.5633558526,Gas to NGCC,Gas,NGCC,229.6,234792.37,6841472.323763595,6797475.760407742
55100,-1668.7386959056776,20137.894063444866,Gas to NGCC,Gas,NGCC,274.5,413879.53,6861610.21782704,6841472.323763595
56283,-1668.644711740431,10245.092819994996,Gas to NGCC,Gas,NGCC,100.8,52137.22,6871855.310647035,6861610.21782704
55172,-1665.3005728817866,320221.5632826572,Gas to NGCC,Gas,NGCC,807.0,4486284.75,7192076.873929692,6871855.310647035
55317,-1662.851467946293,124487.98064730992,Gas to NGCC,Gas,NGCC,872.2,2253414.6,7316564.854577002,7192076.873929692
55501,-1638.6996964214388,438996.53810806456,Gas to NGCC,Gas,NGCC,1370.0,5222630.84,7755561.392685067,7316564.854577002
55097,-1630.4052959969863,234063.7116448481,Gas to NGCC,Gas,NGCC,1112.6,5758223.22,7989625.104329915,7755561.392685067
7929,-1612.52634467089,79766.2548822623,Gas to NGCC,Gas,NGCC,408.0,261893.9,8069391.359212177,7989625.104329915
55128,-1607.8209195325592,54043.03134643687,Gas to NGCC,Gas,NGCC,494.09999999999997,252154.03,8123434.390558613,8069391.359212177
55238,-1602.15694102735,23524.902164810694,Gas to NGCC,Gas,NGCC,316.0,108134.1,8146959.292723424,8123434.390558613
