State,Facility ID,Gross Load (MWh),SO2 Mass (short tons),CO2 Mass (short tons),NOx Mass (short tons),Heat Input (mmBtu),Technology,Technology_alt,Operating Year,Age,Total Capital Cost (2024$/kW),Total Nameplate Capacity (MW),Fuel Category,Energy Source,Latitude,Longitude,wind_cf,pvout,Wind Size (MW),Solar Size (MW),NGCC Size (MW),Wind Capital Cost ($),Solar Capital Cost ($),NGCC Capital Cost ($),Existing Capital Cost ($),Remaining Capital Cost ($),Fixed O&M - Wind ($/year),Fixed O&M - Solar ($/year),Fixed O&M - NGCC ($/year),Variable O&M - Wind ($/year),Variable O&M - Solar ($/year),Variable O&M - NGCC ($/year),Fixed O&M - Existing ($/year),Variable O&M - Existing ($/year),Fuel costs ($/MWh),NGCC Fuel Cost ($/year),Existing Fuel Cost ($/year),Annualized Capital - Wind ($),Annualized Capital - Solar ($),Annualized Capital - NGCC ($),Annualized Capital - Existing ($),Old Emissions (tonnes CO2),New Emissions (tonnes CO2),Delta Emissions (tonnes CO2),Net Capital Cost - Wind ($/year),Net Fixed O&M - Wind ($/year),Net Variable O&M - Wind ($/year),Net Fuel Cost - Wind ($/year),Net Capital Cost - Solar ($/year),Net Fixed O&M - Solar ($/year),Net Variable O&M - Solar ($/year),Net Fuel Cost - Solar ($/year),Net Capital Cost - NGCC ($/year),Net Fixed O&M - NGCC ($/year),Net Variable O&M - NGCC ($/year),Net Fuel Cost - NGCC ($/year),Total Cost - Wind ($/year),Total Cost - Solar ($/year),Total Cost - NGCC ($/year),MACC - Wind ($/tonne CO2),MACC - Solar ($/tonne CO2),MACC - NGCC ($/tonne CO2)
AL,3,9909175.25,280.447,5492459.55,1325.482,78038481.45,Conventional Steam Coal,Coal,1971.0,53.0,18365.55948686083,3343.4999999999995,Coal,BIT,31.0069,-88.0103,0.17066957,1559.983,6627.920794122853,6352.1045070962355,1917.2616767278075,18955853471.19136,14248322971.396963,2254699731.8319016,61405248144.31918,0.0,196451572.33780137,109002113.34177141,26324002.821472798,0.0,0.0,20809268.025000002,0.0,0.0,0.0,220925062.19875002,0.0,5688927391.300331,4276129004.4398885,676668190.2806385,0.0,4982675.269128884,3339755.7259816746,1642919.5431472096,5688927391.300331,196451572.33780137,0.0,0.0,4276129004.4398885,109002113.34177141,0.0,0.0,676668190.2806385,26324002.821472798,20809268.025000002,220925062.19875002,5885378963.638132,4385131117.78166,944726523.3258612,1181.1684779263303,880.0756382721903,575.0290860355366
AL,10,1486496.0,4.784,877874.75,1128.351,14636558.775,Natural Gas Steam Turbine,Oil/Gas steam,1965.0,59.0,11012.762448740481,1288.4,Gas,NG,32.6017,-87.7811,0.22265717,1548.295,762.1192904929972,960.0857445181518,287.612413899853,2179661170.809972,1970939057.4179478,338232198.74622715,14188843138.957235,0.0,22589215.770212438,16475071.375931486,3948918.442844982,0.0,0.0,3121641.6,0.0,0.0,0.0,33141428.32,0.0,654148026.4774,591507483.8159698,101508403.35369062,0.0,796394.541716325,501003.7064032,295390.835313125,654148026.4774,22589215.770212438,0.0,0.0,591507483.8159698,16475071.375931486,0.0,0.0,101508403.35369062,3948918.442844982,3121641.6,33141428.32,676737242.2476124,607982555.1919013,141720391.7165356,849.751231078459,763.4187872277811,479.77247353089626
AL,26,3724241.0,847.64,3277111.004,2318.763,39268998.175,Conventional Steam Coal,Coal,1974.0,50.0,11618.89338019918,2034.0,Coal,BIT,33.244211,-86.458056,0.20900571,1537.702,2034.1150862167538,2421.9523263544747,720.5790960451978,5817569146.579916,5056982664.258446,847401016.9491526,23632829135.325134,0.0,60291171.15546458,41560701.92024279,9893550.988700567,0.0,0.0,7820906.100000001,0.0,0.0,0.0,83031953.095,0.0,1745937133.3008165,1517674065.1510587,254317372.9457409,0.0,2972944.963030439,1255205.8966446999,1717739.066385739,1745937133.3008165,60291171.15546458,0.0,0.0,1517674065.1510587,41560701.92024279,0.0,0.0,254317372.9457409,9893550.988700567,7820906.100000001,83031953.095,1806228304.4562812,1559234767.0713015,355063783.1294415,607.5552446874503,524.474817549906,206.70414388171554
AL,47,57840.42,3.888,37420.817,61.766,625437.879,Natural Gas Fired Combustion Turbine,Combustion turbine,2023.0,1.0,10176.740269829526,1169.6,Gas,NG,34.7439,-87.8486,0.26394117,1500.082,25.016132824762632,38.558171350004294,11.191165544462503,71546139.87882113,74894525.32727534,13160810.680287903,11902715419.592613,23988509651490.543,741478.1769259644,661658.2203660738,153654.70292547016,0.0,0.0,121464.882,0.0,0.0,0.0,1289552.1639,0.0,21472037.411399636,22476936.595880687,3949750.74504531,7199300724720.149,33947.5926438999,19494.344283413997,14453.248360485904,-7199279252682.738,741478.1769259644,0.0,0.0,-7199278247783.554,661658.2203660738,0.0,0.0,-7199296774969.404,153654.70292547016,121464.882,1289552.1639,-7199278511204.562,-7199277586125.333,-7199295210297.655,-212070369.36971763,-212070342.11950174,-498109146.8669415
KY,54,416889.2,1.58,306604.2,88.769,5157543.199,Natural Gas Fired Combustion Turbine,Combustion turbine,1999.0,25.0,6315.14860598998,1055.0,Gas,NG,37.8833,-84.1017,0.2608638,1405.847,182.43270685479683,296.5395141784985,80.66117173593376,521757541.6047189,568402939.1538211,94857537.9614581,6662481779.319428,24737328472.88849,5407305.431176178,5088618.063303035,1107477.8879343707,0.0,0.0,875467.3200000001,0.0,0.0,0.0,9294544.714,0.0,156587028.62224942,170585991.0112799,28468127.103872057,7424032146.63403,278146.63919574,140506.96023363998,137639.6789621,-7267445118.011781,5407305.431176178,0.0,0.0,-7253446155.62275,5088618.063303035,0.0,0.0,-7395564019.530158,1107477.8879343707,875467.3200000001,9294544.714,-7262037812.580605,-7248357537.559447,-7384286529.608224,-26108.66639833852,-26059.48271932405,-53649.402449140674
AL,56,1753729.47,3.261,646064.636,86.62,10871305.052,Natural Gas Fired Combined Cycle,Combined cycle,2023.0,1.0,2418.5876317249026,732.7,Gas,NG,31.488019,-87.910747,0.19005698,1561.809,1053.3547626684763,1122.8834735612365,339.3176747155793,3012594621.231842,2428591598.8700495,399037585.4655213,1772099157.7648363,3571455441122.779,31221435.165493634,19268680.40631082,4658831.673844904,0.0,0.0,3682831.887,0.0,0.0,0.0,39099398.533649996,0.0,904123472.2380842,728855669.3103285,119756984.48836328,1071845734442.4192,586099.9529902692,591071.193261549,-4971.240271279821,-1070941610970.1812,31221435.165493634,0.0,0.0,-1071116878773.1089,19268680.40631082,0.0,0.0,-1071725977457.9308,4658831.673844904,3682831.887,39099398.533649996,-1070910389535.0156,-1071097610092.7026,-1071678536395.8363,-1827180.4733497319,-1827499.9078706389,215575686.93414572
NE,59,405362.95,353.457,487057.496,399.189,4643955.627,Conventional Steam Coal,Coal,1982.0,42.0,3293.5881663737555,109.8,Coal,SUB,40.854765,-98.348222,0.41150495,1576.784,112.45140129221474,257.08209570090304,78.43103281479762,321611007.69573414,457942842.3595752,92234894.590202,361635980.66783834,0.0,3333059.534301245,4411528.762227496,1076858.0805471714,0.0,0.0,851262.1950000001,0.0,0.0,0.0,9037566.97025,0.0,96520142.11887519,137435309.01990995,27681033.67465632,0.0,441851.10839151114,136622.190970265,305228.9174212462,96520142.11887519,3333059.534301245,0.0,0.0,137435309.01990995,4411528.762227496,0.0,0.0,27681033.67465632,1076858.0805471714,851262.1950000001,9037566.97025,99853201.65317644,141846837.78213745,38646720.92045349,225.98834710786667,321.0285887898038,126.61552924593046
NE,60,1224281.29,2125.891,1200502.188,967.595,11446456.991,Conventional Steam Coal,Coal,2011.0,13.0,7140.900869956817,324.3,Coal,SUB,40.580872,-98.312437,0.45317397,1586.281,308.39842567890895,771.7934498854697,236.87820021670152,882019497.4416795,1352556515.8014889,278568763.45484096,2315794152.126996,200325825995.69586,9140929.337122861,13243975.600034662,3252337.688975312,0.0,0.0,2570990.7090000003,0.0,0.0,0.0,27295351.36055,0.0,264706882.56177798,405921887.01600206,83602538.45533164,60120694666.8887,1089077.2172701235,412627.725853343,676449.4914167805,-59855987784.32693,9140929.337122861,0.0,0.0,-59714772779.8727,13243975.600034662,0.0,0.0,-60037092128.43337,3252337.688975312,2570990.7090000003,27295351.36055,-59846846854.98981,-59701528804.27267,-60003973448.67485,-54951.885785474115,-54818.45351050523,-88704.29235300382
KS,108,1747062.29,1166.489,1773082.229,1629.74,16905792.226,Conventional Steam Coal,Coal,1983.0,41.0,3293.5881663737555,348.7,Coal,SUB,37.9308,-100.9725,0.43814236,1717.771,455.18616537098734,1017.0519201761231,338.027685550654,1301832432.9610238,1819543038.4277186,397520558.20756906,1148474193.6145284,0.0,13491717.941596065,17452610.950222272,4641120.122610479,0.0,0.0,3668830.8090000004,0.0,0.0,0.0,38950753.755550005,0.0,390698851.8354303,546071336.0489335,119301702.53895226,0.0,1608513.0699906962,588824.1089160431,1019688.9610746531,390698851.8354303,13491717.941596065,0.0,0.0,546071336.0489335,17452610.950222272,0.0,0.0,119301702.53895226,4641120.122610479,3668830.8090000004,38950753.755550005,404190569.7770264,563523946.9991558,166562407.22611275,251.28211720366332,350.33843212875803,163.34628850995128
AZ,113,1987350.31,918.513,2272264.575,1982.254,22146886.998,Conventional Steam Coal,Coal,1980.0,44.0,6587.176332747511,425.9,Coal,SUB,34.9394,-110.3033,0.14044663,1906.97,1615.3215626111253,1042.1508154463688,384.5194470242242,4619819669.067818,2739909411.4760194,452194869.7004876,2805478400.117165,0.0,47878131.11579375,17883307.993059687,5279452.007642598,0.0,0.0,4173435.651,0.0,0.0,0.0,44307975.16145,0.0,1386475090.5661094,822286673.8401654,135710258.8049763,0.0,2061363.6567920025,669809.9902263769,1391553.6665656255,1386475090.5661094,47878131.11579375,0.0,0.0,822286673.8401654,17883307.993059687,0.0,0.0,135710258.8049763,5279452.007642598,4173435.651,44307975.16145,1434353221.6819031,840169981.833225,189471121.6250689,695.8273553314293,407.57970048852985,136.15796945344292
