facility_id,macc,emissions,transition,from_fuel,to_tech,nameplate_capacity,annual_generation,cumulative_end,cumulative_start
55251,-1991.8554136588732,81404.69431035496,Gas to NGCC,Gas,NGCC,567.8,324199.13,81404.69431035496,0.0
55276,-1985.8936663985994,154453.96675675295,Gas to NGCC,Gas,NGCC,519.0,461740.21,235858.66106710793,81404.69431035497
55620,-1984.6002233616298,134452.70625718823,Gas to NGCC,Gas,NGCC,824.1,4248996.55,370311.36732429615,235858.66106710793
55418,-1965.7903444105334,112348.4470788727,Gas to NGCC,Gas,NGCC,714.8,2225320.73,482659.81440316886,370311.36732429615
55651,-1936.4642075853174,70954.9875769474,Gas to NGCC,Gas,NGCC,346.0,183312.49,553614.8019801163,482659.81440316886
56102,-1917.581995146163,148839.00731500203,Gas to NGCC,Gas,NGCC,566.9,2942204.85,702453.8092951183,553614.8019801163
55395,-1916.3446220048045,67794.0666815895,Gas to NGCC,Gas,NGCC,306.4,208787.64,770247.8759767078,702453.8092951183
963,-1905.2924245865015,485625.4577352189,Coal to NGCC,Coal,NGCC,437.4,766988.95,1255873.3337119268,770247.8759767079
4937,-1904.7107334982854,525346.0939540385,Gas to NGCC,Gas,NGCC,574.6,2462503.78,1781219.4276659652,1255873.3337119268
56196,-1874.7003578088122,104151.3176037916,Gas to NGCC,Gas,NGCC,528.0,3495457.26,1885370.7452697568,1781219.4276659652
55938,-1871.702807479691,53661.72018786629,Gas to NGCC,Gas,NGCC,383.0,232193.31,1939032.4654576231,1885370.7452697568
7270,-1870.4764607105665,61592.71095352969,Gas to NGCC,Gas,NGCC,381.6,163683.32,2000625.1764111528,1939032.4654576231
55936,-1866.33018116978,9064.200001403999,Gas to NGCC,Gas,NGCC,168.0,46742.97,2009689.3764125567,2000625.1764111528
7813,-1839.8758897482924,118103.89105278262,Gas to NGCC,Gas,NGCC,570.0,428581.4,2127793.2674653395,2009689.376412557
55626,-1838.916490140779,3336.2503798243997,Gas to NGCC,Gas,NGCC,47.0,14807.99,2131129.517845164,2127793.2674653395
