facility_id,macc,emissions,transition,from_fuel,to_tech,nameplate_capacity,annual_generation,cumulative_end,cumulative_start
57881,-1972.686223487946,113970.93412675025,Gas to NGCC,Gas,NGCC,293.1000000000001,491755.51,113970.93412675025,0.0
7757,-1948.9212696034713,227802.48059024615,Gas to NGCC,Gas,NGCC,1069.6,7037405.58,341773.41471699637,113970.93412675022
56629,-1947.866949386736,7432.369025795497,Gas to NGCC,Gas,NGCC,96.0,41268.13,349205.78374279186,341773.41471699637
8906,-1921.6905344716674,32981.06024700758,Gas to NGCC,Gas,NGCC,1345.0,1544242.55,382186.84398979944,349205.78374279186
55951,-1921.043719882621,2437.1342882899994,Gas to NGCC,Gas,NGCC,60.5,10908.5,384623.97827808943,382186.84398979944
56473,-1910.9869063506874,2341.6533080135,Gas to NGCC,Gas,NGCC,49.8,12052.76,386965.63158610294,384623.97827808943
56164,-1909.610302207392,21054.506236624788,Gas to NGCC,Gas,NGCC,334.5,1096536.37,408020.13782272773,386965.63158610294
7987,-1902.704200447107,1951.3083057270992,Gas to NGCC,Gas,NGCC,60.5,10202.95,409971.4461284548,408020.13782272773
7302,-1899.9076099422412,1857245.897524802,Gas to NGCC,Gas,NGCC,2266.3,7062107.65,2267217.343653257,409971.446128455
55091,-1879.300294448777,362987.37881646026,Gas to NGCC,Gas,NGCC,1734.0,5433406.41,2630204.7224697173,2267217.343653257
55131,-1878.7725807907395,360115.30277405516,Gas to NGCC,Gas,NGCC,1256.0,6031041.67,2990320.025243772,2630204.7224697173
7063,-1877.7432607825901,196733.35284689674,Gas to NGCC,Gas,NGCC,676.0,758280.61,3187053.378090669,2990320.025243772
7916,-1876.3038951225274,156127.52062151095,Gas to NGCC,Gas,NGCC,726.0,524114.19,3343180.89871218,3187053.378090669
55146,-1867.1270300373128,180575.6776240063,Gas to NGCC,Gas,NGCC,903.9000000000001,3938030.93,3523756.5763361864,3343180.89871218
56150,-1857.5034433222422,361909.33822722733,Gas to NGCC,Gas,NGCC,1376.6000000000001,9237842.97,3885665.9145634137,3523756.5763361864
55625,-1815.9930706411576,2003.605627249,Gas to NGCC,Gas,NGCC,47.0,8440.24,3887669.5201906627,3885665.9145634137
7844,-1815.3228718168298,1595.5464555326002,Gas to NGCC,Gas,NGCC,49.0,6970.67,3889265.0666461955,3887669.5201906627
3804,-1813.2865838848466,86655.3694486497,Gas to NGCC,Gas,NGCC,709.0,1932251.26,3975920.436094845,3889265.0666461955
2847,-1811.2537161803043,130104.08539701003,Gas to NGCC,Gas,NGCC,680.6000000000001,394193.4,4106024.5214918554,3975920.436094845
1239,-1809.7760991747327,66999.71182783943,Gas to NGCC,Gas,NGCC,300.2,1188051.98,4173024.2333196946,4106024.5214918554
56234,-1803.2039836317313,35487.015475545544,Gas to NGCC,Gas,NGCC,348.9,2557228.07,4208511.24879524,4173024.2333196946
55855,-1801.576702586058,2023.5390456714995,Gas to NGCC,Gas,NGCC,47.0,8269.03,4210534.787840912,4208511.24879524
2070,-1787.8673047336135,285285.4687222766,Gas to NGCC,Gas,NGCC,510.5,2200212.09,4495820.2565631885,4210534.787840912
55215,-1786.5766793450155,174134.32975608623,Gas to NGCC,Gas,NGCC,1152.8,7153349.23,4669954.586319275,4495820.2565631885
3295,-1773.3790435763544,388235.52595154336,Gas to NGCC,Gas,NGCC,758.9,1427856.3,5058190.112270819,4669954.586319275
7296,-1765.1258838948586,83375.01700176462,Gas to NGCC,Gas,NGCC,690.5,2385458.76,5141565.129272584,5058190.112270819
7839,-1749.0968236660046,182955.3475803978,Gas to NGCC,Gas,NGCC,892.5,853290.57,5324520.476852981,5141565.129272584
2039,-1729.3154321930813,17257.1317978438,Gas to NGCC,Gas,NGCC,191.3,58015.12,5341777.608650825,5324520.476852981
55694,-1717.099603945649,145681.3025825934,Gas to NGCC,Gas,NGCC,850.5,2316739.44,5487458.911233419,5341777.608650825
55271,-1715.773814287461,135212.50439327944,Gas to NGCC,Gas,NGCC,939.4,2767580.65,5622671.415626698,5487458.911233419
2880,-1706.7205319682532,89600.65170395348,Gas to NGCC,Gas,NGCC,450.0,233591.47,5712272.067330652,5622671.415626698
55111,-1704.8435671711957,200450.171116294,Gas to NGCC,Gas,NGCC,692.0,576508.6,5912722.238446946,5712272.067330652
55137,-1704.146907842447,89679.53858951991,Gas to NGCC,Gas,NGCC,940.2,4703659.02,6002401.777036466,5912722.238446945
56032,-1687.1344453935665,11357.138213543698,Gas to NGCC,Gas,NGCC,120.0,57166.65,6013758.91525001,6002401.777036466
56569,-1672.3420997210646,15401.829589396195,Gas to NGCC,Gas,NGCC,121.0,91473.57,6029160.744839406,6013758.91525001
55836,-1669.1961130606087,3056.0441335900996,Gas to NGCC,Gas,NGCC,60.5,7808.72,6032216.788972996,6029160.744839406
58471,-1667.93514388269,121571.97183523711,Gas to NGCC,Gas,NGCC,358.8,433683.18,6153788.760808233,6032216.788972996
56502,-1665.0590580647834,376219.6514671624,Gas to NGCC,Gas,NGCC,730.1999999999999,1239721.93,6530008.412275395,6153788.760808233
55439,-1664.5399334543122,187160.09190432355,Gas to NGCC,Gas,NGCC,1011.4,3977946.24,6717168.504179719,6530008.412275395
61144,-1661.4732503756318,90196.15721498479,Gas to NGCC,Gas,NGCC,349.0,407920.4,6807364.661394704,6717168.504179719
3609,-1651.6001935582935,43996.5633558526,Gas to NGCC,Gas,NGCC,229.6,234792.37,6851361.224750557,6807364.661394704
56283,-1649.1509676468345,10245.092819994996,Gas to NGCC,Gas,NGCC,100.8,52137.22,6861606.317570552,6851361.224750557
1912,-1628.6595205452634,144408.7460507073,Gas to NGCC,Gas,NGCC,644.0,2506403.22,7006015.063621259,6861606.317570552
55172,-1611.6345329570481,320221.5632826572,Gas to NGCC,Gas,NGCC,807.0,4486284.75,7326236.626903917,7006015.063621259
7929,-1599.9495645407994,79766.2548822623,Gas to NGCC,Gas,NGCC,408.0,261893.9,7406002.881786179,7326236.626903917
55317,-1593.5125645316507,124487.98064730992,Gas to NGCC,Gas,NGCC,872.2,2253414.6,7530490.8624334885,7406002.881786179
55501,-1593.128385592463,438996.53810806456,Gas to NGCC,Gas,NGCC,1370.0,5222630.84,7969487.400541553,7530490.8624334885
55100,-1590.01179009413,20137.894063444866,Gas to NGCC,Gas,NGCC,274.5,413879.53,7989625.294604998,7969487.400541553
55128,-1589.9482469326522,54043.03134643687,Gas to NGCC,Gas,NGCC,494.09999999999997,252154.03,8043668.325951435,7989625.294604998
55098,-1585.7865164355608,52636.11448759062,Gas to NGCC,Gas,NGCC,529.0,1432354.71,8096304.440439025,8043668.325951435
55238,-1584.5494234162404,23524.902164810694,Gas to NGCC,Gas,NGCC,316.0,108134.1,8119829.342603835,8096304.440439025
7964,-1574.9158734576015,37988.3562830825,Gas to NGCC,Gas,NGCC,240.0,139598.93,8157817.698886918,8119829.342603835
10030,-1561.2887522139304,16945.296380561198,Gas to NGCC,Gas,NGCC,118.0,92491.63,8174762.995267479,8157817.698886918
56108,-1550.229737804609,10128.619645091301,Gas to NGCC,Gas,NGCC,100.8,52796.24,8184891.61491257,8174762.995267479
55165,-1537.056044751287,28684.3797955883,Gas to NGCC,Gas,NGCC,358.8,105196.13,8213575.994708159,8184891.61491257
55097,-1536.169110930769,234063.7116448481,Gas to NGCC,Gas,NGCC,1112.6,5758223.22,8447639.706353007,8213575.994708159
55116,-1535.9731807823248,188872.99031663354,Gas to NGCC,Gas,NGCC,977.5,791623.36,8636512.69666964,8447639.706353007
7266,-1530.4401231798738,33754.888217041225,Gas to NGCC,Gas,NGCC,199.0,272204.1,8670267.584886681,8636512.69666964
6112,-1527.1138900537555,263992.5795277909,Gas to NGCC,Gas,NGCC,1148.5,4142437.23,8934260.164414473,8670267.584886681
62565,-1498.0615014224084,77410.24077715701,Gas to NGCC,Gas,NGCC,664.7,4035893.91,9011670.40519163,8934260.164414473
7999,-1496.434075377179,149307.75498521235,Gas to NGCC,Gas,NGCC,714.9000000000001,3699845.7,9160978.160176843,9011670.40519163
