facility_id,NOx,SOx,PM2_5,CO2,original_CO2,CO2_reduction,CO2_reduction_percent
26,409.66651,37.24241,37.24241,1377969.17,2972945.94616374,1594976.77616374,53.649706555273305
60,134.6709419,12.2428129,12.2428129,452984.0773,1089077.5774207802,636093.5001207802,58.4066289958164
118,14.2330386,1.2939126,1.2939126,47874.7662,86782.33496157,38907.56876157,44.83351223356634
130,1008.0943862,91.64494420000001,91.64494420000001,3390862.9354,8443911.624950625,5053048.689550625,59.842510367109305
201,45.2950773,4.1177343,4.1177343,152356.1691,191690.11191782999,39333.942817829986,20.519547108768396
341,0.8582376,0.07802160000000001,0.07802160000000001,2886.7992,9306.747412050001,6419.9482120500015,68.98165307181016
377,3.7766322,0.3433302,0.3433302,12703.2174,28309.510783725,15606.293383725,55.12738635065705
470,791.8466743,71.9860613,71.9860613,2663484.2681,6954410.131773121,4290925.863673121,61.70078816704891
525,299.9115504,27.264686400000002,27.264686400000002,1008793.3968,2654494.211043675,1645700.814243675,61.99677540817202
533,278.7884286,25.3444026,25.3444026,937742.8962,1449343.3434350549,511600.4472350549,35.29877510062748
544,1.0309519,0.09372290000000001,0.09372290000000001,3467.7473000000005,7604.81936406,4137.072064059999,54.400661817315445
546,4.4723481000000005,0.4065771,0.4065771,15043.3527,30720.320448195,15676.967748195002,51.031263735128505
602,139.3368086,12.6669826,12.6669826,468678.3562,1226336.18110536,757657.8249053599,61.782228770453784
643,469.9163931,42.719672100000004,42.719672100000004,1580627.8677,1600754.62006833,20126.752368330024,1.2573290194515192
664,82.3923892,7.4902172,7.4902172,277138.0364,328035.542274225,50897.505874225,15.515850971928113
667,390.60766359999997,35.5097876,35.5097876,1313862.1412,2830995.17663535,1517133.0354353501,53.59009608905336
676,128.0623751,11.6420341,11.6420341,430755.2617,698053.4880714751,267298.2263714751,38.29194050873447
689,100.32396,9.120360000000002,9.120360000000002,337453.32,589760.6491708801,252307.32917088008,42.781309591541664
703,1228.770125,111.70637500000001,111.70637500000001,4133135.875,10136815.731380476,6003679.856380476,59.22648704952702
