facility_id,site_name,state,latitude,longitude,annual_generation_mwh,original_fuel,new_technology,abatement_cost,NOx,SOx,PM2_5,VOC,NH3,CO2,transition,height,diam,temp,velocity
6264,Plant 6264,WV,38.9794,-81.9344,5459659.98,Coal,NGCC,80.13484519361796,600.5625978,54.59659980000001,54.59659980000001,109.19319960000001,54.59659980000001,2020074.1926000002,Coal to NGCC,50.0,5.0,400.0,20.0
6641,Plant 6641,AR,35.678442,-91.408761,5050175.82,Coal,NGCC,57.62044506845252,555.5193402000001,50.501758200000005,50.501758200000005,101.00351640000001,50.501758200000005,1868565.0534,Coal to NGCC,50.0,5.0,400.0,20.0
6761,Plant 6761,CO,40.860905,-105.021207,1629501.39,Coal,NGCC,79.70235468196287,179.2451529,16.2950139,16.2950139,32.5900278,16.2950139,602915.5142999999,Coal to NGCC,50.0,5.0,400.0,20.0
6823,Plant 6823,KY,37.4497,-87.0806,3150842.05,Coal,NGCC,64.32240399958565,346.5926255,31.5084205,31.5084205,63.016841,31.5084205,1165811.5584999998,Coal to NGCC,50.0,5.0,400.0,20.0
7097,Plant 7097,TX,29.309722,-98.3203,5409990.16,Coal,NGCC,-400.63879387150035,595.0989176,54.0999016,54.0999016,108.1998032,54.0999016,2001696.3592,Coal to NGCC,50.0,5.0,400.0,20.0
7158,Plant 7158,OH,39.4492,-84.4611,203524.66,Gas,NGCC,78.10722793169296,22.3877126,2.0352466000000002,2.0352466000000002,4.0704932000000005,2.0352466000000002,75304.1242,Gas to NGCC,50.0,5.0,400.0,20.0
7210,Plant 7210,SC,33.3644,-81.03,1476651.41,Gas,NGCC,-13.995525228772834,162.4316551,14.7665141,14.7665141,29.5330282,14.7665141,546361.0216999999,Gas to NGCC,50.0,5.0,400.0,20.0
7325,Plant 7325,TX,29.694838,-95.040622,719261.22,Gas,NGCC,36.95413622439875,79.1187342,7.1926122,7.1926122,14.3852244,7.1926122,266126.6514,Gas to NGCC,50.0,5.0,400.0,20.0
7425,Plant 7425,IL,39.8233,-89.5891,39524.1,Gas,NGCC,-484.70400194468397,4.347651,0.395241,0.395241,0.790482,0.395241,14623.917,Gas to NGCC,50.0,5.0,400.0,20.0
7504,Plant 7504,WY,44.2856,-105.3833,752832.76,Coal,NGCC,-11.422687714288799,82.8116036,7.528327600000001,7.528327600000001,15.056655200000002,7.528327600000001,278548.1212,Coal to NGCC,50.0,5.0,400.0,20.0
7515,Plant 7515,KS,38.38932,-97.61108,13237.53,Gas,NGCC,-945.6863475958584,1.4561283,0.13237530000000003,0.13237530000000003,0.26475060000000006,0.13237530000000003,4897.886100000001,Gas to NGCC,50.0,5.0,400.0,20.0
7527,Plant 7527,CA,38.445681,-121.462387,156613.13,Gas,NGCC,-738.8347982163507,17.227444300000002,1.5661313000000001,1.5661313000000001,3.1322626000000002,1.5661313000000001,57946.8581,Gas to NGCC,50.0,5.0,400.0,20.0
7551,Plant 7551,CA,38.530943,-121.400128,630076.14,Gas,NGCC,-353.20796867555725,69.3083754,6.300761400000001,6.300761400000001,12.601522800000001,6.300761400000001,233128.1718,Gas to NGCC,50.0,5.0,400.0,20.0
7699,Plant 7699,FL,27.746369,-81.849446,736121.22,Gas,NGCC,-54.906221856248536,80.9733342,7.361212200000001,7.361212200000001,14.722424400000001,7.361212200000001,272364.8514,Gas to NGCC,50.0,5.0,400.0,20.0
7749,Plant 7749,MO,36.868206,-89.840173,73788.48,Gas,NGCC,-181.3923209557774,8.1167328,0.7378848,0.7378848,1.4757696,0.7378848,27301.737599999997,Gas to NGCC,50.0,5.0,400.0,20.0
