,eis facility id,site name,state,site latitude,site longitude,primary naics code,primary naics description,NH3,NOx,Other,PM2_5,SOx,VOC,geometry
4885,1641611,Gianera St Gen Station,CA,37.40108,-121.96864,221112,Fossil Fuel Electric Power Generation,0.0,0.46078961085326403,0.1521261416357462,0.11147869911336612,0.00650611729529095,0.01329619759386226,POINT (-121.96864 37.40108)
4996,1673711,"SHASTA - SUSTAINABLE RESOURCE MANAGEMENT, INC",CA,40.428064,-122.278922,221118,Other Electric Power Generation,115.85119261173921,326.22998279718,852.3397059647963,186.80510695377845,26.85244261117844,18.305042958398968,POINT (-122.278922 40.428064)
5793,1978311,WOODLAND BIOMASS POWER LTD,CA,38.69079,-121.73731,221118,Other Electric Power Generation,0.0,15.603577528,142.20783887541512,10.713969643200102,0.9495047203337589,0.35380204860000003,POINT (-121.73731 38.69079)
5856,1998211,PACIFIC GAS AND ELECTRIC COMPANY,CA,37.332422,-121.905232,221112,Fossil Fuel Electric Power Generation,0.0,0.00507062473604918,0.00245773003010038,2.384768326286654e-05,6.593600127268e-06,0.1010450894372073,POINT (-121.905232 37.332422)
5857,1998311,PACIFIC GAS AND ELECTRIC COMPANY,CA,37.233729,-121.787393,221122,Electric Power Distribution,0.0,0.0198354854779312,0.034228169423738776,0.0011647284803086519,2.18542708953954e-05,0.5899355940153338,POINT (-121.787393 37.233729)
6219,2096011,SALINAS RIVER COGENERATION,CA,35.9516,-120.8679,221112,Fossil Fuel Electric Power Generation,0.0,24.20096730898,206237.1003686508,12.16389223907704,1.54163527413588,1.7780820904,POINT (-120.8679 35.9516)
6243,2114711,SO CAL EDISON CO,CA,34.08517,-118.14983,221118,Other Electric Power Generation,0.0034246223935000004,1.9867345806,0.6562756442344199,0.3097204140359389,0.0012363642797578844,0.15502698584912003,POINT (-118.14983 34.08517)
6377,2185011,PACIFIC GAS & ELECTRIC COMPANY,CA,38.903752,-121.970127,221113,Nuclear Electric Power Generation,0.0,0.018143694800000002,0.0,0.0,0.0,0.0,POINT (-121.970127 38.903752)
6487,2225811,Pitchess Cogeneration Facility,CA,34.4639,-118.5945,221112,Fossil Fuel Electric Power Generation,0.0,0.0,9897.510697685177,0.0,0.0,0.0,POINT (-118.5945 34.4639)
6782,2334611,SEGS (III THROUGH VII),CA,35.013,-117.549,221112,Fossil Fuel Electric Power Generation,0.0,0.01640462165342,0.4108586820746929,0.5027102796252001,0.0013098210434665841,0.006125992297345844,POINT (-117.549 35.013)
6958,2397811,APPLIED ENERGY LLC MCRD,CA,32.7353,-117.2083,221118,Other Electric Power Generation,0.0,31.9510465428,55.05421471863416,55.31282570356599,2.7840705423646965,0.9403965238555965,POINT (-117.2083 32.7353)
7274,2534411,SAN BER CNTY SOLID WASTE MGMT MID VALLEY,CA,34.142,-117.425,221118,Other Electric Power Generation,0.0,9.0446318578,4285.643237830736,9.870341701271283,6.2814733291573335,1.0523342984,POINT (-117.425 34.142)
7282,2541511,IMPERIAL IRRIGATION DISTRICT/ COACHELLA,CA,33.67588,-116.17298,221112,Fossil Fuel Electric Power Generation,0.1425232585777,14.669177245800002,4.267883878102728,0.6739517108311328,0.18243271704375547,0.172567039923124,POINT (-116.17298 33.67588)
8972,3124511,SAN MARCOS ENERGY LLC,CA,33.088973,-117.19359,221118,Other Electric Power Generation,0.0,6.9214331055007605,121.54328230362123,9.352516932221848,1.5602236708954278,7.370639237282861,POINT (-117.19359 33.088973)
8973,3124711,SEMPRA ENERGY,CA,33.008139,-117.093677,221118,Other Electric Power Generation,0.0,0.25800733166885603,0.061728386166368436,0.015479653189524833,0.0028385084766808,0.013579338115878921,POINT (-117.093677 33.008139)
9010,3145311,"SANTA CRUZ ENERGY, LLC",CA,36.96344,-122.10237,221118,Other Electric Power Generation,0.0,3.3747272328,33.82525722094018,7.7531234736520185,3.67588716530728,2.2498181552000003,POINT (-122.10237 36.96344)
9431,3333611,CITY OF ESCONDIDO,CA,33.10512,-117.112077,221118,Other Electric Power Generation,0.34074021764779305,1.5276616445020854,1.5494719344258254,0.9191541761014363,0.08979620495501718,0.60257145183695,POINT (-117.112077 33.10512)
9433,3334511,SYCAMORE ENERGY 1 LLC,CA,32.866,-117.016,221114,Solar Electric Power Generation,0.0,33.09901262775184,184.78890924619859,2.7462273588224555,17.243326011107044,1.1974379532521562,POINT (-117.016 32.866)
9436,3335911,PACIFIC GAS & ELECTRIC COMPANY,CA,37.79182,-122.396334,221112,Fossil Fuel Electric Power Generation,0.0,0.3753136123161656,0.09904790211313538,0.014224136530769498,0.00029639798282212425,0.07431046383013916,POINT (-122.396334 37.79182)
9592,3371111,CABRILLO POWER II LLC MIRAMAR GT,CA,32.87591,-117.16542,221112,Fossil Fuel Electric Power Generation,0.0,2.0030639059200004,11267.53293268027,0.0,0.05715263862,0.0,POINT (-117.16542 32.87591)
9695,3414111,OLS ENERGY-CHINO,CA,33.99003,-117.68258,221112,Fossil Fuel Electric Power Generation,0.37789233937070005,2.8213445414000002,10509.98258863721,1.8547605531557885,0.11754257414935268,0.5184651507574,POINT (-117.68258 33.99003)
11050,3943511,ORMOND BEACH GENERATING STATION,CA,34.1292,-119.1689,221112,Fossil Fuel Electric Power Generation,3.2443284982724,16.748477845625942,280204.81318324263,18.47468748756667,2.1926375117689325,4.518106734134404,POINT (-119.1689 34.1292)
11058,3945411,SYCAMORE COGENERATION FACILITY,CA,35.45477,-119.00291,221112,Fossil Fuel Electric Power Generation,0.0,46.98434415643276,725806.8257668494,35.234234961995355,3.4931096503319123,0.00059057726574,POINT (-119.00291 35.45477)
11060,3945911,MODESTO IRRIGATION DISTRICT,CA,37.63647,-120.92823,221118,Other Electric Power Generation,0.15916342167701358,0.283309031582115,0.7229885493221408,0.11627832693879711,0.024438427994909546,0.02293725896616,POINT (-120.92823 37.63647)
11589,4082511,CARSON COGENERATION COMPANY,CA,33.8759,-118.2496,221112,Fossil Fuel Electric Power Generation,0.0,4.0324361693,0.0,0.0,0.03991612856,0.0,POINT (-118.2496 33.8759)
