,eis facility id,site name,state,site latitude,site longitude,primary naics code,CO2,NH3,NOx,Other,PM2_5,SOx,VOC,geometry,height,diam,temp,velocity
946,13909011,"LA CITY, DWP SCATTERGOOD GENERATING STN",CA,33.9185,-118.4268,221112,770275.0321225653,11.5304269075688,41.369120998821,84.11703441420075,26.21341105961041,4.9471229111745565,10.827310743996055,POINT (-118.4268 33.9185),50.0,5.0,400.0,20.0
947,13986511,ALGONQUIN POWER SANGER LLC,CA,36.68415,-119.55292,221118,66696.41144020073,0.87134504606919,8.2869738425705,12.271757407996628,7.730973458938639,0.653317737080173,0.584646636220724,POINT (-119.55292 36.68415),50.0,5.0,400.0,20.0
948,14025311,WALNUT ENERGY CENTER AUTHORITY,CA,37.4877,-120.8955,221118,526857.6903700455,19.22144586108976,31.138571889656,84.2291983589289,75.2601335129796,5.745378600777526,8.407415317391859,POINT (-120.8955 37.4877),50.0,5.0,400.0,20.0
949,14025511,KINGSBURG COGEN FACILITY,CA,36.549543,-119.579554,221118,0.0,0.0323292563968297,0.16929291947799,1.3735229636519721,1.2998750677777327,0.023748512548643963,0.039008943819999996,POINT (-119.579554 36.549543),50.0,5.0,400.0,20.0
950,14090111,MODESTO IRRIGATION DISTRICT,CA,37.7311,-121.1253,221118,20409.403500753153,1.274200883253338,1.9609070310522,1.5575946652885204,0.20692087756835667,0.11191260070855061,0.07020793421334,POINT (-121.1253 37.7311),50.0,5.0,400.0,20.0
951,14137911,Feather River Energy Center,CA,39.108817,-121.60944,221112,51089.20876315217,41.17530097912,24.061260859020003,1.2312591452011334,0.0,0.25764046615999997,0.0,POINT (-121.60944 39.108817),50.0,5.0,400.0,20.0
968,15322111,PG&E COLUSA GENERATING STATION,CA,39.366154,-122.269618,221112,864059.2482090419,11.777993540783472,51.899957328773404,64.39001298411912,43.4925480895193,9.226193997294121,9.46067766578088,POINT (-122.269618 39.366154),50.0,5.0,400.0,20.0
999,15667711,Niland Gas Turbine Plant,CA,33.24299,-115.49914,221112,47434.00813618847,1.284506732324662,3.4881253253000004,4.9379821426212,2.901564892151772,0.362401162031986,0.239588487737214,POINT (-115.49914 33.24299),50.0,5.0,400.0,20.0
1000,15695911,ROSEVILLE ENERGY PARK,CA,38.79286,-121.38228,221112,231642.63973284676,0.000563588519725,11.938848054606165,10.659461442913178,2.8997124600314055,1.3027462308045785,2.20898894519919,POINT (-121.38228 38.79286),50.0,5.0,400.0,20.0
1001,15757411,GATEWAY GENERATING STATION,CA,38.0171,-121.7593,221112,1362244.2336609592,0.0,71.54693888958,27.786004766035607,0.0,6.8764603292,0.0,POINT (-121.7593 38.0171),50.0,5.0,400.0,20.0
1002,15782011,MOUNTAINVIEW GENERATING STATION,CA,34.0817,-117.2424,221112,823287.5412156144,4.943476444445,52.9580068910354,185.33725911116792,133.47023715459673,9.724797681439888,23.496192720984062,POINT (-117.2424 34.0817),50.0,5.0,400.0,20.0
1003,15863611,PANOCHE ENERGY CENTER LLC,CA,36.6511,-120.5844,221121,336371.257696578,7.68598889990085,34.535706585534,30.336502583809327,11.538870982974498,2.199233253732156,1.109340789558386,POINT (-120.5844 36.6511),50.0,5.0,400.0,20.0
1004,15993811,CANYON POWER PLANT,CA,33.85797,-117.86118,221112,38620.90662450819,6.3291875270239,3.1872629493874403,16.446746584871065,4.675151414976634,0.38374451950826055,1.34223243954492,POINT (-117.86118 33.85797),50.0,5.0,400.0,20.0
1005,16016511,BICENT (CALIFORNIA) MALBURG LLC,CA,33.998637,-118.220705,221112,265666.5455688476,20.517869839359204,29.550192107422145,42.357334368690005,33.51175956845233,3.1699607759880166,3.45250834522286,POINT (-118.220705 33.998637),50.0,5.0,400.0,20.0
1006,16024011,Donald Von Raesfeld Power Plant,CA,37.376258,-121.950957,221112,340128.7583410889,6.064864307156309,17.641502107687174,17.255329394759624,2.526022876935713,1.8225596636718242,0.26728422568115145,POINT (-121.950957 37.376258),50.0,5.0,400.0,20.0
1029,17193711,OTAY MESA ENERGY CENTER LLC,CA,32.57315,-116.91378,221112,828641.4421339502,0.0,39.778236479520004,16.907002899998705,0.0,4.18302883614,0.0,POINT (-116.91378 32.57315),50.0,5.0,400.0,20.0
1030,17193811,ORANGE GROVE ENERGY LP,CA,33.3594,-117.1114,221112,0.0,0.0,2.550719394906822,1.9156829742708525,0.8689679048078864,0.1366432873429273,0.156960377967008,POINT (-117.1114 33.3594),50.0,5.0,400.0,20.0
1031,17216311,"WALNUT CREEK ENERGY, LLC",CA,34.008486,-117.944853,221112,126205.2216475375,5.822403658924484,13.79719145514895,22.4551242425393,6.772319916719941,0.9130167730257783,1.4531114796025828,POINT (-117.944853 34.008486),50.0,5.0,400.0,20.0
1032,17228711,SENTINEL ENERGY CENTER LLC,CA,33.9366,-116.5722,221118,319222.8547551728,7.6218078475077,28.667319011269402,37.14657658196103,12.588836606726943,2.125628613664768,2.4608656131136,POINT (-116.5722 33.9366),50.0,5.0,400.0,20.0
1034,17414311,RUSSELL CITY ENERGY CO  LLC,CA,37.634,-122.1336,221112,139415.92391352277,0.0,10.582309992099999,2.948000505660152,0.0,0.7030681735000001,0.0,POINT (-122.1336 37.634),50.0,5.0,400.0,20.0
1035,17414411,MARSH LANDING LLC (MARSH LANDING GENERATING STA ),CA,38.0171,-121.7651,221112,158446.5271777752,0.0,10.0334632244,3.2340005547167334,0.0,0.79922975594,0.0,POINT (-121.7651 38.0171),50.0,5.0,400.0,20.0
1064,18139211,DELANO ENERGY CENTER LLC,CA,35.7909,-119.2945,221118,0.0,0.308198053157148,0.46992169532000005,0.164312695190368,0.11361708689623601,0.037330652051,0.013426334152000001,POINT (-119.2945 35.7909),50.0,5.0,400.0,20.0
1065,18785511,YUBA CITY ENERGY CENTER,CA,39.136456,-121.639884,221112,53676.909207011326,108.81000567745001,607.55704251858,5.285654866116482,1.273706697994962,0.32362382247610805,0.09071847400000001,POINT (-121.639884 39.136456),50.0,5.0,400.0,20.0
1088,19236011,PIO PICO ENERGY CENTER LLC,CA,32.573769,-116.917827,221112,0.0,0.0,4.06237326572,48.35207192651198,26.919689207503247,3.285142739725,4.44525330679122,POINT (-116.917827 32.573769),50.0,5.0,400.0,20.0
