State,Facility ID,Gross Load (MWh),SO2 Mass (short tons),CO2 Mass (short tons),NOx Mass (short tons),Heat Input (mmBtu)
TX,7325,719261.22,2.955,585443.942,97.933,9850228.153
IN,7335,13849.46,0.059,10282.379,11.29,172554.067
IN,7336,49858.42,0.185,36498.978,21.016,614040.15
IA,7343,1083582.51,1771.361,1053692.501,857.001,10046662.761
GA,7348,1530.0,0.72,931.6,3.513,14022.0
OR,7350,4271182.42,8.658,1714925.199,187.097,28856870.183
FL,7380,1788797.86,5.94,1176637.085,333.109,19798849.081
IL,7425,39524.1,0.154,30633.378,38.017,511740.207
CA,7449,7140.32,0.017,3433.432,0.494,57776.539
ID,7456,782146.9,2.425,480266.598,203.95,8081351.246
WY,7504,752832.76,413.369,914116.173,676.154,9054886.05
KS,7515,13237.53,0.062,12298.194,17.047,206637.361
CA,7527,156613.13,0.423,86432.698,5.251,1427634.517
CA,7551,630076.14,1.609,318460.186,18.799,5358749.669
CA,7552,709561.38,1.529,302867.448,23.715,5096392.443
MO,7604,2010810.06,4.433,878077.858,86.221,14775398.87
WA,7605,1859457.55,4.998,771101.271,81.546,12975327.551
AL,7697,1141633.5,2.443,483988.4,105.838,8144070.7
AL,7698,940079.75,1.934,382996.6,98.342,6444564.375
FL,7699,736121.22,2.457,486729.175,159.034,8190140.594
AL,7710,14018822.25,28.232,5592225.4,394.921,94100018.125
AL,7721,2080924.25,4.091,810352.85,44.012,13635664.85
MO,7749,73788.48,0.273,54015.991,44.57,908932.622
MO,7754,11902.3,0.047,9203.774,6.093,154866.366
OK,7757,7037405.58,14.467,2865641.841,348.295,48219973.489
IN,7759,340512.57,1.257,248976.942,57.375,4189522.688
IL,7760,75089.89,0.239,47485.151,44.688,799035.586
TX,7762,2826281.8,5.905,1169705.43,325.505,19682460.322
IN,7763,253972.89,0.787,155917.859,110.177,2623687.4
GA,7764,47574.36,0.163,32348.989,28.922,542925.595
GA,7765,244279.14,0.942,187556.359,48.838,3087742.986
GA,7768,79937.7,0.234,46358.001,36.879,780079.714
OH,7782,1259.79,0.007,1376.7,1.517,23336.5
OH,7783,1416.7,0.007,1408.1,1.516,23866.0
UT,7790,3662057.25,613.87,3865499.478,4773.865,37675447.115
NC,7805,7727186.38,15.177,3832982.392,395.036,64488565.767
GA,7813,428581.4,1.462,289413.558,154.577,4869966.735
IL,7818,17222.33,0.052,8156.076,10.815,173249.399
AR,7825,146823.89,0.472,93497.191,39.342,1573164.125
NC,7826,2967899.75,9.322,1845729.85,196.069,31056912.085
GA,7829,156370.18,0.617,122306.72,43.198,2058062.029
SC,7834,4486453.4,14.643,2898951.868,531.722,48795732.808
MD,7835,213788.45,0.664,131559.965,38.644,2213734.625
VA,7836,220893.69,0.724,143369.634,42.536,2409602.713
VA,7837,245545.58,0.898,173232.42,47.795,2912576.505
VA,7838,308791.01,1.713,182518.89,49.069,3046871.113
VA,7839,853290.57,3.65,518687.744,136.544,8678748.669
IL,7842,1084.49,0.003,625.227,0.508,10521.7
MN,7843,103601.36,0.383,75938.632,59.672,1276418.109
MN,7844,6970.67,0.022,4348.528,5.497,73185.127
TN,7845,3511015.99,7.004,1337805.313,133.084,22507284.677
FL,7846,3307524.31,9.766,1934657.757,202.891,32553021.79
MO,7848,195009.25,0.754,149391.802,31.222,2512765.965
WI,7863,35349.0,0.143,26545.8,8.119,449795.9
NY,7869,162159.43,0.478,94767.759,7.948,1593288.35
WA,7870,630305.53,8.314,470240.173,103.815,7912713.154
OH,7872,188231.98,0.848,123342.7,130.017,2087298.4
FL,7873,3993950.83,13.148,2604116.224,292.425,43819115.424
NE,7887,67509.75,0.199,38858.366,25.039,653768.93
AL,7897,6591696.0,13.453,2664888.675,219.856,44841884.875
TX,7900,1956683.32,4.658,922646.108,100.191,15525755.671
TX,7902,952750.53,367.638,1015416.612,822.323,9326877.403
MO,7903,93575.22,0.321,63648.708,65.453,1071061.314
NY,7909,128494.25,0.394,78097.783,6.919,1314165.519
NY,7910,58593.18,0.177,35058.548,3.006,589929.069
NY,7912,38967.29,0.116,22904.018,1.995,385382.236
NY,7913,108070.81,0.337,66740.81,4.907,1123114.948
NY,7914,100567.97,0.298,59136.013,4.946,995066.721
NY,7915,34991.52,0.104,20605.69,1.803,346737.051
GA,7916,524114.19,1.881,366819.72,94.273,6168299.248
GA,7917,3611215.64,7.286,1443327.843,112.777,24286797.742
MN,7925,78033.53,0.344,68279.013,17.304,1148275.161
KS,7928,44044.71,0.146,28986.955,6.057,487771.158
KS,7929,261893.9,0.936,185225.909,47.595,3116765.222
GA,7946,1998559.85,6.39,1265773.002,130.098,21299016.527
MN,7947,166462.41,0.491,97134.138,125.428,1634282.606
IN,7948,43344.04,0.143,28446.003,20.542,478654.047
ID,7953,571332.77,1.84,364711.169,133.889,6136932.212
MS,7960,61300.94,0.374,45706.58,10.993,766886.278
DE,7962,20250.52,0.062,12161.786,1.141,200323.15
MO,7964,139598.93,0.503,93738.705,65.553,1574580.198
NM,7967,112278.6,0.354,70134.412,47.596,1180121.8
MI,7972,112923.89,0.435,85978.228,22.047,1446737.86
NM,7975,291469.85,0.881,173967.486,182.331,2926211.425
SC,7981,42239.21,0.131,32394.677,9.718,535956.394
MI,7984,55890.32,0.179,35305.05,25.576,594079.6
IA,7985,1412629.05,4.662,923324.943,70.731,15536731.553
CA,7987,10202.95,0.031,5941.543,1.006,99977.799
MS,7988,213032.11,0.733,145194.024,33.205,2443147.126
MS,7989,290182.09,0.841,166534.022,121.445,2802213.057
WI,7991,430853.35,2.004,235117.457,18.972,3956292.027
WA,7999,3699845.7,10.249,1539148.026,89.967,25899146.664
NE,8000,596118.49,1.551,307196.089,35.064,5169307.882
NH,8002,55088.25,98.313,51438.771,74.228,726233.974
NY,8006,207811.69,106.496,133774.438,140.242,2110306.08
NY,8007,25171.0,0.094,21849.6,66.117,269785.9
NJ,8008,1951.2,0.011,2122.8,2.699,35982.5
PA,8012,659.91,1.063,852.0,3.052,10518.4
WI,8023,4640315.81,1416.869,5067154.754,2178.218,48322437.236
MN,8027,69168.86,0.437,52789.061,20.877,896881.769
IA,8031,2968155.02,6.644,1316149.55,90.488,22146713.525
NC,8042,9078632.66,1624.168,6118977.46,7170.034,82949849.908
FL,8048,1933833.04,6.384,1264505.686,1210.502,21277782.275
FL,8049,272281.51,1.19,224727.983,98.724,3749901.49
NY,8053,46281.09,0.138,27238.158,2.514,458332.107
MS,8054,226917.86,0.822,157636.088,348.955,2652099.999
LA,8056,237778.33,1.872,158801.774,230.619,2656568.189
OK,8059,306482.83,1.495,296220.35,121.231,4984492.291
WY,8066,9105956.02,6667.98,9813084.092,5487.452,93564898.346
AZ,8068,4816455.92,10.345,2049144.477,104.821,34480669.257
UT,8069,3830775.89,1057.137,4058301.11,3798.842,39554564.468
OH,8102,14678632.01,18431.858,14701693.142,6264.212,143319971.044
CO,8219,1187394.24,411.443,1169431.099,891.858,11205324.464
ND,8222,2750235.48,13752.533,3209506.036,6463.763,29480154.127
AZ,8223,7708510.81,5676.403,7679992.454,4225.533,73254702.03
NV,8224,1207285.13,2693.629,1349968.319,1683.822,12871582.85
NY,8906,1544242.55,3.02,537360.642,226.674,8720796.388
DE,10030,92491.63,0.268,53041.426,12.833,891808.447
CA,10034,60564.72,0.153,30267.119,7.937,509286.7
PA,10143,823270.4,2475.601,986547.682,591.38,9363004.936
CA,10156,2590.54,0.009,1770.269,0.203,29783.471
CA,10169,29255.74,0.091,17986.569,2.209,302663.85
NY,10190,93552.14,0.256,50310.811,32.554,844955.459
CA,10294,69294.92,0.193,38123.35,34.271,642464.704
MA,10307,74934.98,0.262,52535.762,36.003,859862.526
NJ,10308,992449.21,2.443,483822.585,338.049,8141200.537
CA,10349,51699.73,0.159,31572.886,14.138,531279.344
CA,10350,2569.83,0.008,1585.947,0.161,26689.264
CA,10405,3902.07,0.015,2961.867,0.768,49847.256
NC,10525,343065.0,287.5,515831.833,446.076,4946110.416
PA,10603,330514.97,1217.24,434639.725,150.862,4121661.289
NY,10617,4861.17,0.013,2510.974,0.606,42254.879
NY,10619,12637.49,0.03,5982.533,1.547,100660.599
NY,10620,2292.92,0.007,1300.4,2.305,21885.463
NY,10621,12237.82,0.031,6152.986,6.344,103536.573
VA,10633,703394.09,2.614,489215.674,512.821,8230874.679
CA,10649,48863.68,0.118,23347.532,3.58,392921.152
CA,10650,26068.45,0.067,13298.003,1.611,223714.444
MD,10678,658186.54,646.734,857150.516,256.872,8357782.607
CO,10682,67053.72,0.247,48948.226,37.001,823630.171
NY,10725,154922.95,0.392,77486.717,30.66,1303917.958
MA,10726,442588.5,1.585,311910.425,94.522,5248437.725
NJ,10751,79052.9,0.223,44109.363,20.569,742218.57
NV,10761,277541.37,0.894,176830.136,16.974,2975509.08
CA,10776,5649.69,0.767,3350.882,18.643,56380.117
PA,10870,12119.69,0.05,8992.312,9.119,150366.655
NJ,50006,7448760.13,15.615,3096556.054,464.137,52072475.237
TX,50109,832018.65,2.159,427606.279,386.685,7195288.729
TX,50137,35235.8,0.139,27439.921,64.369,461717.861
ME,50243,13756.25,0.446,10048.495,6.03,169445.25
PA,50279,87552.5,0.263,52053.925,35.224,875931.075
NY,50292,620422.34,1.753,347026.912,174.286,5839669.97
NY,50449,41692.5,0.117,23372.75,20.597,392016.95
NY,50450,36060.0,0.095,18733.0,17.69,315214.625
NY,50451,32674.75,0.1,18630.55,22.634,313455.5
NY,50458,523187.5,1.261,249743.65,50.076,4202433.45
NC,50555,5041.22,3.481,6069.847,7.56,74866.77
OK,50558,656566.42,1.577,312369.865,279.962,5256208.0
NJ,50561,247967.47,0.614,121507.083,29.068,2043958.929
PA,50611,179801.85,301.663,386253.76,247.195,3269930.646
CA,50612,38382.39,0.107,21275.063,3.831,358257.354
TX,50625,5843783.52,7.96,2297823.374,176.791,38551245.248
CO,50707,868082.19,2.679,530642.151,410.582,8929141.76
NY,50744,1529.94,0.005,1083.907,1.887,18237.406
NJ,50799,8662.92,0.025,5103.996,2.534,85894.213
TX,50815,3722332.38,12.029,2382601.707,399.983,40091379.667
CA,50865,207569.13,0.856,169605.176,19.425,2853988.771
PA,50888,581210.0,346.672,663737.0,254.419,5708095.0
FL,50949,8116.86,0.068,4991.284,0.951,83831.69
NY,50978,136578.58,0.532,97962.777,22.293,1648357.443
RI,51030,879019.21,3.244,642163.648,140.874,10785386.274
VA,52019,5305358.17,14.555,2842367.478,757.435,47820509.93
MA,52026,35661.67,0.063,19344.83,4.015,324328.58
VA,52087,110170.57,0.502,78091.0,84.805,1313818.6
TX,52088,2639600.76,5.786,1146088.289,562.029,19285102.594
TX,52176,104076.42,0.402,79604.271,87.828,1339503.377
NY,54034,24664.01,0.066,13079.0,3.426,220036.203
NY,54041,66797.12,0.263,52850.528,50.097,889346.388
NY,54076,36915.75,0.097,19361.025,6.122,325074.45
NY,54114,476184.04,1.244,245694.979,57.271,4134173.151
NY,54131,50984.23,0.202,37772.271,23.553,635611.841
NY,54149,494998.45,0.944,186917.544,133.958,3144275.592
CA,54238,352341.42,0.467,516181.751,103.585,4953593.422
NV,54271,214766.34,0.588,116365.017,214.018,1958033.711
RI,54324,731033.38,2.723,539057.32,127.268,9056893.284
FL,54365,430076.54,0.986,195310.148,82.689,3286507.569
FL,54426,442418.45,1.049,207873.044,84.996,3497993.644
FL,54466,1039304.12,2.427,480738.796,247.307,8089331.627
WA,54476,583742.94,7.634,429035.52,59.104,7219028.803
WA,54537,1004841.86,15.116,787618.665,163.63,13238372.144
NY,54547,4019318.9,8.724,1728173.035,210.759,29079849.254
NY,54574,244189.99,0.712,140866.752,32.373,2370378.257
NY,54592,14391.11,0.057,11273.405,3.416,189702.148
NY,54593,4648.48,0.017,3454.159,3.505,58134.733
NJ,54640,165068.42,1.0,119999.037,17.412,2010384.054
AZ,54694,154372.51,0.421,83463.682,52.612,1404428.623
CA,54749,14051.72,0.037,7411.016,0.944,124697.843
OR,54761,3031264.24,6.665,1320391.679,157.597,22218416.095
CA,54768,30039.51,0.084,16684.744,4.01,280700.01
PA,54785,895049.45,3.897,771496.518,220.577,12978977.649
MA,54805,221815.02,0.543,107542.912,15.931,1809641.12
TX,54817,1165178.14,2.683,530032.853,133.348,8918645.686
MD,54832,662763.65,1.661,328839.815,78.943,5528338.867
VA,54844,932516.05,2.49,460010.901,103.8,7735181.661
NV,54854,32459.83,0.127,25275.874,31.425,425320.272
NY,54914,1679381.57,5.313,1052191.522,56.561,17693422.008
MI,54915,1042639.9,2.955,585369.56,135.279,9849952.01
MN,55010,1068102.77,2.564,505037.665,42.277,8497147.69
WI,55011,669281.87,1.58,312935.541,43.633,5262442.89
TX,55015,3324179.91,14.058,2987175.81,299.339,50264928.992
MA,55026,355696.13,0.842,166772.317,17.232,2806273.854
WI,55029,148107.72,0.52,97162.471,69.767,1633580.964
ME,55031,83586.33,1.34,62395.511,10.284,1034880.025
NM,55039,561576.19,1.938,380916.687,118.358,6408585.669
GA,55040,151848.87,0.425,71904.19,19.968,1209029.33
MA,55041,71925.67,0.158,30541.305,5.467,526756.688
CT,55042,2684791.22,5.63,1115359.614,180.529,18768159.978
SC,55043,79838.63,0.288,56003.211,13.38,942367.304
TX,55047,5158359.36,10.311,2042363.792,402.27,34366661.339
RI,55048,1694673.89,3.505,694375.794,58.171,11684181.423
GA,55061,239120.48,0.742,146127.917,51.437,2456049.522
TX,55062,4269599.22,9.242,1830775.605,632.173,30806372.477
MS,55063,4650829.66,11.011,2181217.524,479.657,36703036.08
TX,55064,1740733.71,61.462,1044815.983,407.611,17507695.519
TX,55065,2135785.83,4.953,981072.824,333.697,16508438.513
ME,55068,593806.99,2.096,415087.511,55.389,6984643.839
AR,55075,1772280.94,3.654,723729.576,279.122,12178114.438
NV,55077,1688385.07,3.777,748157.588,75.862,12589237.57
MA,55079,418656.19,1.353,268093.683,38.046,4511196.321
TN,55081,165160.15,0.584,115722.336,66.975,1947243.388
TX,55086,372717.37,1.383,270907.178,65.434,4558512.256
MI,55087,4785052.96,12.127,2402094.69,368.695,40419825.917
MI,55088,3627979.0,1229.539,3628684.95,603.518,43901179.35
LA,55089,3861354.67,14.219,2816642.857,679.798,47395165.911
TX,55091,5433406.41,12.21,2418740.908,345.117,40699953.431
TX,55097,5758223.22,12.102,2397302.626,613.125,40339012.0
TX,55098,1432354.71,2.979,590168.925,96.388,9930696.635
ME,55100,413879.53,0.888,175962.497,24.175,2960892.075
MI,55101,188487.02,0.694,137561.454,51.978,2314728.394
MI,55102,9592.35,0.047,9293.033,22.207,156365.441
OR,55103,2986868.27,6.332,1254245.715,60.776,21105156.698
RI,55107,3680824.15,7.571,1499640.555,72.197,25234265.421
IL,55109,18609.07,0.066,13144.639,9.423,221184.094
OH,55110,958516.29,3.528,698716.741,192.202,11757359.884
IN,55111,576508.6,2.194,435142.62,116.28,7322085.035
CA,55112,2322533.94,4.677,926475.71,63.752,15589742.965
NC,55116,791623.36,2.535,502300.265,201.869,8446397.362
LA,55117,2168028.74,6.483,1284237.049,661.014,21609793.691
TX,55120,2679544.83,6.261,1354983.052,171.342,20871867.956
TX,55123,3164158.65,6.316,1251152.483,179.822,21052876.432
AZ,55124,3774421.06,7.978,1580277.363,118.527,26591380.55
CT,55126,3651788.75,7.927,1570267.285,93.868,26422842.729
CO,55127,359995.89,1.146,226919.125,94.555,3818355.799
GA,55128,252154.03,0.773,153252.357,68.533,2578761.506
AZ,55129,3058902.65,6.896,1366098.493,122.572,22987219.57
IL,55131,6031041.67,13.315,2637608.069,288.342,44382845.169
TX,55132,3239266.13,7.02,1390716.644,418.988,23401369.778
WI,55135,612717.6,2.062,405214.7,151.969,6867938.3
TX,55137,4703659.02,9.321,1846355.271,278.374,31068510.013
TX,55139,3221166.35,7.017,1390041.603,289.49,23390102.862
GA,55141,570466.1,1.933,382823.016,147.255,6441706.784
TX,55144,4802960.88,10.617,2103063.427,227.212,35388083.022
OK,55146,3938030.93,8.391,1662105.442,449.229,27968100.17
IN,55148,60374.73,0.199,39326.013,27.529,661759.628
CT,55149,3717837.89,12.002,2377498.427,134.34,40005986.659
CA,55151,2371233.79,5.243,1038455.385,63.321,17474206.082
TX,55153,7173679.85,15.906,3150618.612,892.911,53015249.057
TX,55154,2141537.16,6.936,1373996.559,144.772,23120047.777
KY,55164,36844.35,0.131,25706.3,14.635,430084.306
LA,55165,105196.13,0.357,70701.519,51.018,1189698.999
SC,55166,288724.79,1.006,177346.443,128.446,2982225.328
TX,55168,3101038.36,6.528,1293121.02,284.497,21759281.964
NH,55170,2266433.15,7.224,1431081.448,113.589,24080662.159
TX,55172,4486284.75,10.196,2019725.609,301.169,33985713.618
LA,55173,5839704.88,12.954,2566120.226,187.84,43180076.057
TX,55176,2688528.46,7.673,1519905.574,387.095,25575281.462
AZ,55177,2754750.55,6.159,1220071.765,95.26,20529924.094
MO,55178,2689483.08,5.827,1154385.417,147.509,19424650.501
ID,55179,1834721.5,3.858,764141.996,76.954,12858151.534
CA,55182,2916903.62,6.023,1193052.258,50.559,20075420.528
IL,55183,2980274.28,6.199,1227808.79,165.758,20660292.397
TX,55187,7701995.26,16.066,3182436.507,286.22,53550582.859
IL,55188,789986.83,1.622,321209.282,37.422,5404750.709
FL,55192,10510.58,4.618,6299.292,1.954,102653.655
PA,55193,4204295.45,8.767,1736709.345,100.514,29223393.866
PA,55196,133881.83,0.398,78727.869,51.015,1324762.372
MS,55197,3990545.17,8.323,1648718.051,151.267,27742786.915
KY,55198,461820.84,1.577,312598.931,147.366,5260108.889
IL,55199,947603.72,3.126,619216.215,172.48,10419817.58
CO,55200,236900.64,0.597,118309.527,28.533,1990770.662
IL,55201,75558.74,0.268,53123.761,31.354,893896.271
IL,55202,47348.33,0.132,26471.211,20.74,445437.459
IL,55204,5142.36,0.019,3610.613,2.117,60746.976
TX,55206,3150331.29,7.213,1428672.526,446.427,24040224.794
CO,55207,23080.84,0.085,16683.517,14.902,280748.745
NM,55210,1488127.8,3.189,631597.332,83.354,10627917.972
MA,55211,2005161.93,6.767,1340474.826,74.767,22556045.35
MA,55212,1838494.86,6.006,1189773.316,69.92,20020414.275
TX,55215,7153349.23,14.386,2849558.142,647.021,47949396.329
CA,55217,3460925.41,7.129,1412129.731,86.645,23761745.195
MS,55218,3300395.67,7.034,1393217.127,137.966,23443503.288
MS,55220,2983680.09,6.215,1231158.062,113.864,20716547.76
AR,55221,913194.87,2.153,426961.807,333.433,7176249.43
IL,55222,12245.48,0.051,10222.056,2.179,172014.477
TX,55223,1475763.39,3.294,652589.624,154.747,10981124.31
IN,55224,90276.79,0.357,70675.737,103.281,1189245.497
OK,55225,5789142.71,12.671,2510040.637,761.797,42236183.291
TX,55226,7765041.24,15.867,3143007.486,790.889,52887274.418
OH,55228,69824.65,0.247,45811.1,34.301,775930.9
IN,55229,158554.5,5.028,100945.4,143.189,1704388.6
TX,55230,6461103.77,13.555,2684959.692,254.059,45179635.839
PA,55231,4083189.7,8.847,1752379.574,140.707,29487508.648
KY,55232,139632.99,0.697,102156.997,22.431,1712547.322
PA,55233,134310.83,0.433,77946.6,119.535,1320095.6
MO,55234,200995.09,0.712,140900.731,29.434,2370988.068
IL,55236,67836.29,0.285,56501.916,15.862,950773.832
IL,55237,174191.7,0.553,102620.3,105.16,1738576.2
IL,55238,108134.1,0.337,66105.681,21.867,1112343.805
NJ,55239,2653850.14,6.828,1352656.148,118.362,22760998.252
AL,55241,1526383.04,3.424,678208.517,54.544,11412176.299
FL,55242,1171577.99,2.57,509127.095,135.454,8567098.296
NY,55243,4921.7,0.762,4226.8,14.67,70540.4
GA,55244,54823.83,0.201,39923.728,23.102,671794.933
OH,55247,566005.76,1.09,220576.88,76.496,3707299.051
OH,55248,904009.37,5.818,677205.6,389.615,11474393.9
IL,55250,84798.1,0.303,50651.91,77.385,852541.917
TN,55251,324199.13,1.061,210179.58,129.866,3536696.033
IL,55253,54103.91,0.224,44200.698,9.602,743738.114
IN,55259,2267428.2,7.962,1577062.671,106.513,26537099.717
OH,55262,1003.69,0.007,1447.2,1.841,24540.0
OH,55263,703.22,0.007,1477.7,1.878,25040.4
OH,55264,1124.14,0.008,1524.6,1.939,25850.8
GA,55267,203130.71,0.7,134538.226,47.16,2241479.937
MS,55269,4609315.53,9.337,1849608.556,186.191,31123326.551
MI,55270,2019805.37,4.96,982131.855,535.165,16526081.625
AL,55271,2767580.65,5.943,1177256.135,78.978,19809179.3
WV,55276,461740.21,1.778,341801.8,229.468,5793469.9
IL,55279,422211.89,1.21,239800.225,104.376,4035100.882
AZ,55282,3616696.63,7.706,1526403.427,104.35,25684738.426
CO,55283,2091055.27,4.841,959005.948,252.076,16137113.344
WV,55284,324014.45,1.09,215388.509,199.163,3626618.72
VA,55285,80157.97,0.256,50345.129,52.888,847654.485
FL,55286,386965.6,7.447,238402.224,56.673,4007030.144
AL,55292,2198460.32,4.672,925564.042,67.003,15574369.775
AL,55293,5593033.39,12.343,2445158.983,147.761,41144502.548
ME,55294,2525553.81,4.83,956831.169,116.06,16100491.012
CA,55295,1112499.62,3.752,743198.063,52.919,12505713.102
IL,55296,4340.85,0.013,2629.858,1.951,44251.515
MI,55297,6553330.13,16.402,3249010.66,187.824,54670764.181
PA,55298,8224585.2,16.622,3292674.387,213.726,55405417.429
TX,55299,5665685.49,10.975,2276891.202,182.912,38313214.514
GA,55304,37495.19,0.111,21947.777,17.361,369143.471
AZ,55306,10521537.06,22.513,4459644.506,304.899,75042008.351
MA,55317,2253414.6,4.919,974411.717,60.29,16382537.277
TX,55320,3483759.39,7.111,1408527.48,197.636,23701364.232
NV,55322,7097390.48,15.44,3058422.374,207.985,51463896.266
TX,55327,5418744.17,11.371,2252326.704,191.348,37899813.194
OR,55328,4017063.53,8.693,1721902.537,218.252,28974253.695
GA,55332,142280.22,0.457,90345.378,29.519,1520203.723
CA,55333,4340912.9,9.063,1795387.781,129.68,30210836.041
IL,55334,2582947.5,5.523,1094059.726,118.864,18409677.67
PA,55337,2853145.21,9.322,1846617.409,189.039,31072828.98
AR,55340,4177274.12,9.417,1863066.524,158.794,31327363.945
NM,55343,3763322.3,7.508,1487142.071,130.982,25023978.489
CA,55345,2232514.35,4.664,923996.354,49.088,15548032.393
PA,55347,1124287.0,3.504,690701.764,181.927,11612444.843
OH,55348,831564.74,2.65,524246.901,147.86,8805228.199
WV,55349,2246086.31,6.903,1367172.621,325.268,23000401.618
OH,55350,4244286.89,8.126,1609591.549,162.041,27084460.364
TX,55357,3395764.11,7.314,1448862.734,143.556,24379860.684
TX,55358,6043970.58,13.238,2625295.826,244.914,44175567.363
IN,55364,2996650.84,6.555,1298346.098,83.26,21847080.666
TX,55365,190541.33,0.794,148829.3,158.015,2521593.1
AZ,55372,1492805.65,4.89,968559.157,78.836,16297950.972
NY,55375,8287440.94,17.496,3453477.303,158.126,58046518.155
PA,55377,133172.76,0.395,78207.905,51.391,1315976.402
AR,55380,13663124.17,29.24,5792253.044,601.726,97465526.074
VA,55381,24241.56,0.095,19837.237,15.758,244472.123
GA,55382,9069142.34,19.084,3780146.637,307.442,63608350.392
SC,55386,2545481.47,5.808,1146999.589,132.119,20720817.663
WI,55391,543714.99,1.937,383796.81,123.875,6455806.935
IL,55392,315083.82,1.047,207819.072,59.058,3491749.989
CA,55393,2417052.51,5.171,1024183.726,64.514,17233814.858
MS,55395,208787.64,0.77,152298.825,127.886,2562532.597
OH,55397,5360474.23,11.532,2284365.043,144.144,38438801.96
CA,55400,3868332.42,7.258,1437675.186,85.406,24191605.804
OH,55401,1933400.91,7.453,1476371.352,394.63,24842427.604
MI,55402,1523848.92,4.999,990334.775,410.314,16664303.914
LA,55404,3395830.42,7.906,1566069.462,422.247,26351925.617
NY,55405,1871764.66,3.951,777277.41,56.712,13078919.589
GA,55406,2573233.47,5.548,1098961.825,104.426,18492124.686
AL,55409,39372.75,0.143,29578.85,17.756,436660.875
AL,55411,4339568.21,8.988,1780385.067,105.814,29958423.445
FL,55412,2188605.99,4.713,933434.597,96.784,15706895.389
FL,55414,153850.23,0.476,94238.231,26.312,1585757.669
FL,55415,721435.84,4.403,449377.959,120.742,7533724.386
IL,55417,801.67,0.004,512.91,0.142,8631.255
AR,55418,2225320.73,4.799,950592.754,87.88,15995553.023
LA,55419,9844595.77,9.4,2991946.566,438.445,53299178.121
LA,55433,154718.6,0.579,114823.979,39.965,1932138.441
IL,55438,214172.38,0.748,148123.382,71.048,2492449.976
VA,55439,3977946.24,8.637,1684192.828,104.157,28323991.084
AL,55440,4918503.25,10.674,2112408.625,162.662,35545390.3
MO,55447,20062.7,0.075,14846.406,7.355,249815.465
MS,55451,5931516.09,12.907,2556664.292,247.717,43020811.784
CO,55453,79081.89,0.268,52921.21,44.44,890504.218
AZ,55455,4519013.75,9.287,1839597.815,141.908,30954858.094
OK,55457,1697932.13,5.348,1059244.184,260.229,17823898.793
MI,55460,7468308.66,14.589,2890081.607,113.835,48631226.27
OK,55463,5169098.59,11.597,2297466.514,266.142,38659289.412
TX,55464,7099880.75,20.775,4115480.805,281.96,69250876.151
LA,55467,3779850.17,8.448,1673379.999,217.744,28157606.186
TX,55470,1327877.26,59.3,2631603.304,235.092,44282101.491
WY,55477,19912.8,0.065,12851.911,5.701,216253.575
SD,55478,41610.22,0.13,25821.395,12.117,434504.478
WY,55479,713811.3,348.379,874057.444,541.691,8333880.044
TX,55480,10692947.88,22.837,4523686.662,1269.788,76119611.85
AZ,55481,7875475.51,16.728,3313551.845,239.944,55756850.809
WA,55482,2215362.11,4.593,909764.3,55.028,15308569.539
LA,55486,349302.3,0.942,186652.554,41.895,3140803.97
IL,55496,6040.74,0.022,4343.459,0.855,73086.148
CA,55499,7382.72,0.024,4673.977,0.58,80265.104
OK,55501,5222630.84,12.238,2424219.458,707.048,40792123.246
IN,55502,8805201.04,19.016,3766926.975,291.151,63385881.276
OH,55503,5571359.4,11.441,2266433.041,173.28,38137179.119
CO,55504,136329.36,0.545,105002.748,27.63,1757510.886
CO,55505,248788.34,0.97,190318.427,46.003,3201367.167
CA,55508,26779.77,0.086,16732.601,1.543,285129.716
CA,55510,13629.77,0.044,8657.059,1.082,147374.21
CA,55512,12556.59,0.042,8125.207,0.681,138845.252
CA,55513,5711.79,0.018,3566.58,0.447,60949.835
NV,55514,2302828.37,4.803,951310.254,90.873,16008268.073
PA,55516,5576566.16,11.738,2325079.463,121.411,39123962.492
CT,55517,163858.23,0.482,100134.64,9.08,1684884.728
CA,55518,4144170.89,8.814,1745808.351,99.961,29376556.834
AZ,55522,535236.03,1.6,317086.382,34.723,5335580.436
PA,55524,8925530.54,19.678,3897636.392,167.09,65582981.826
CA,55538,23761.57,0.07,13870.693,1.251,233398.227
CA,55540,1756.08,0.008,1748.987,0.633,29433.628
CA,55541,26898.29,0.086,17082.748,2.783,287441.954
CA,55542,39862.21,0.123,24384.821,3.104,410314.861
OR,55544,180596.78,0.561,111050.904,17.077,1868741.974
WI,55558,345053.46,1.109,219616.028,22.151,3695535.788
LA,55620,4248996.55,8.717,1726793.322,223.646,29056544.853
UT,55622,845920.33,2.582,511375.429,60.561,8604866.658
CA,55625,8440.24,0.027,5344.31,0.904,89920.152
CA,55626,14807.99,0.046,9179.042,1.553,154438.239
CA,55627,16252.72,0.051,10095.489,1.719,169873.814
IL,55640,208725.19,0.571,115987.128,17.506,1951700.864
WI,55641,7978245.85,15.906,3150745.481,155.507,53017210.994
CO,55645,427745.12,1.555,297031.71,82.001,4992097.072
OK,55651,183312.49,0.738,146318.632,31.858,2462040.478
PA,55654,253981.0,0.752,148963.02,96.18,2506602.304
CA,55656,4007426.84,10.008,1982465.815,111.186,33358747.494
NH,55661,853765.78,1.903,375522.043,36.443,6304492.933
WA,55662,2318715.71,10.678,1006801.493,79.241,16941207.129
